variable,label,type,category,n_valid,pct_nan,wmean,wstd,min,max,p1,p5,p25,p50,p75,p95,p99,skew,kurtosis,wcv,flag_outlier,flag_low_var
pct_etrangers,% étrangers,pct,Démographie,45566,0.0,7.093,7.496,0.0,98.198,0.0,0.0,1.144,2.66,6.217,18.728,30.279,2.63,9.74,1.057,False,False
pct_immigres,% immigrés,pct,Démographie,45566,0.0,9.701,8.877,0.0,98.198,0.0,0.633,2.07,4.146,8.532,23.523,35.784,2.27,6.48,0.915,False,False
age_moyen,Âge moyen,years,Démographie,45566,0.0,42.135,4.885,21.688,74.554,32.512,35.808,40.112,43.123,46.546,52.617,56.79,0.37,0.52,0.116,False,False
pct_femmes,% femmes,pct,Démographie,45566,0.0,51.546,2.495,0.0,74.433,42.647,46.032,49.057,50.628,52.197,54.957,57.154,-1.04,11.02,0.048,False,True
taille_menage_moy,Taille ménage moy.,count,Démographie,45563,0.0,1.032,1.528,1.0,485.0,1.0,1.0,1.0,1.0,1.011,1.086,1.233,156.95,26638.8,1.481,True,False
pct_hors_menage,% hors ménage,pct,Démographie,45566,0.0,2.153,4.222,0.0,100.0,0.0,0.0,0.0,0.0,1.135,7.919,19.03,7.92,106.13,1.961,True,False
ecart_csp_plus_hf,Écart CSP+ H/F,pct,Démographie,45562,0.0,3.74,4.256,-66.667,66.667,-15.15,-6.667,0.0,2.177,5.562,12.29,18.69,-0.21,6.32,1.138,False,False
pct_0_19,% 0-19 ans,pct,Démographie,45566,0.0,23.544,4.824,0.0,64.233,9.524,13.811,19.433,22.857,26.027,30.838,35.405,-0.06,0.81,0.205,False,False
pct_20_64,% 20-64 ans,pct,Démographie,45566,0.0,55.658,5.405,10.928,99.296,41.795,46.759,51.948,54.952,57.785,63.306,69.606,0.22,2.5,0.097,False,False
pct_65_plus,% 65+ ans,pct,Démographie,45566,0.0,20.797,7.477,0.0,75.0,7.655,11.346,16.971,21.422,26.875,36.568,44.444,0.71,0.97,0.36,False,False
pct_csp_agriculteur,% agriculteurs,pct,CSP,45564,0.0,0.755,1.809,0.0,50.0,0.0,0.0,0.0,0.337,2.789,10.133,19.048,3.42,17.09,2.395,True,False
