var1,var2,pearson_r,spearman_r,diff
taille_menage_moy,pct_hors_menage,0.148,1.0,0.852
pct_immigres,DISP_PPFAM21,0.462,0.068,0.394
pct_etrangers,DISP_PPFAM21,0.487,0.109,0.378
DISP_MED21,DISP_RD21,0.427,0.054,0.374
pct_sup5,pct_voiture_0,0.508,0.148,0.359
taille_menage_moy,bpe_D_sante_pour1000,0.011,0.368,0.357
pct_bac_plus,pct_voiture_0,0.337,-0.011,0.348
pct_csp_plus,pct_voiture_0,0.397,0.05,0.347
DISP_RD21,pct_logements_anciens,0.081,-0.261,0.342
pct_csp_agriculteur,pct_actifs_transports,-0.28,-0.602,0.322
DISP_PPFAM21,pct_hlm,0.669,0.348,0.321
pct_hlm,bpe_D_sante_pour1000,-0.015,0.301,0.316
DISP_RD21,pct_hlm,0.048,0.36,0.312
DISP_PIMPOT21,pct_voiture_0,-0.175,0.135,0.31
pct_femmes,pct_hors_menage,-0.146,0.161,0.307
pct_actifs_velo,pct_hlm,0.063,0.364,0.3
DISP_MED21,DISP_GI21,0.447,0.149,0.299
pct_20_64,pct_voiture_0,0.416,0.12,0.296
DISP_RD21,DISP_PIMPOT21,-0.62,-0.334,0.287
pct_hlm,pct_petits_logements,0.13,0.414,0.284
pct_cdi,pct_etudiants,-0.329,-0.046,0.282
DISP_RD21,DISP_PPAT21,0.466,0.186,0.281
pct_etudiants,pct_studios,0.624,0.347,0.277
DISP_MED21,pct_voiture_0,-0.099,-0.373,0.274
DISP_PACT21,pct_voiture_0,0.217,-0.055,0.272
DISP_RD21,pct_chomage,0.091,0.362,0.271
pct_hlm,pct_studios,0.105,0.376,0.271
pct_20_64,pct_petits_logements,0.533,0.268,0.265
DISP_PPSOC21,pct_hlm,0.684,0.42,0.264
pct_actifs_transports,pct_logements_anciens,-0.155,-0.413,0.258
pct_csp_plus,pct_actifs_voiture,-0.579,-0.321,0.258
pct_sup5,pct_garage,-0.287,-0.03,0.257
pct_actifs_velo,pct_logements_anciens,-0.049,-0.305,0.256
DISP_MED21,DISP_S80S2021,0.441,0.186,0.255
DISP_TP6021,pct_hlm,0.66,0.407,0.252
taille_menage_moy,bpe_B_commerces_pour1000,0.011,0.261,0.25
pct_etrangers,DISP_RD21,0.405,0.65,0.246
pct_immigres,pct_csp_agriculteur,-0.256,-0.502,0.246
pct_petits_logements,pct_logements_anciens,0.02,-0.226,0.246
pct_etrangers,pct_csp_agriculteur,-0.222,-0.464,0.242
pct_immigres,pct_sans_diplome,0.307,0.065,0.242
pct_csp_intermediaire,pct_sup5,0.233,0.476,0.242
taille_menage_moy,pct_locataires,-0.002,0.239,0.241
DISP_PPEN21,pct_voiture_0,-0.313,-0.072,0.241
pct_0_19,DISP_TP6021,0.252,0.014,0.239
pct_immigres,DISP_PPSOC21,0.485,0.247,0.238
pct_csp_plus,pct_garage,-0.163,0.075,0.238
pct_logements_anciens,pct_voiture_0,-0.001,-0.238,0.237
pct_bac_plus,pct_petits_logements,0.488,0.252,0.236
pct_bac_plus,pct_actifs_voiture,-0.535,-0.3,0.236
taille_menage_moy,bpe_ecole_privee_pour1000,0.014,0.251,0.236
DISP_PPFAM21,pct_locataires,0.417,0.181,0.235
DISP_PTSA21,pct_voiture_0,0.196,-0.038,0.234
pct_csp_plus,pct_voiture_2plus,-0.301,-0.067,0.234
pct_immigres,DISP_RD21,0.434,0.667,0.233
pct_bac_plus,pct_garage,-0.114,0.118,0.232
pct_bac_plus,pct_voiture_2plus,-0.263,-0.031,0.232
DISP_PPFAM21,pct_proprietaires,-0.401,-0.169,0.232
pct_etrangers,pct_sans_diplome,0.345,0.114,0.232
pct_sup5,pct_logements_anciens,0.061,-0.169,0.23
pct_sup5,pct_actifs_voiture,-0.657,-0.428,0.229
pct_0_19,DISP_PPLOGT21,0.285,0.056,0.229
pct_etudiants,pct_petits_logements,0.56,0.33,0.229
bpe_F_sports_culture_pour1000,bpe_G_tourisme_pour1000,0.285,0.056,0.228
taille_menage_moy,pct_proprietaires,-0.01,-0.238,0.228
pct_sup5,pct_voiture_2plus,-0.422,-0.194,0.228
pct_hlm,bpe_B_commerces_pour1000,-0.074,0.153,0.227
pct_20_64,pct_studios,0.503,0.279,0.224
DISP_GI21,DISP_PIMPOT21,-0.669,-0.447,0.222
pct_immigres,pct_0_19,0.284,0.063,0.222
pct_etrangers,pct_0_19,0.288,0.067,0.221
pct_logements_anciens,pct_studios,-0.001,-0.222,0.22
pct_etrangers,DISP_PPSOC21,0.521,0.302,0.219
pct_csp_agriculteur,pct_actifs_voiture,0.237,0.455,0.218
pct_bac_plus,nb_pieces_moyen,-0.349,-0.132,0.217
DISP_PIMPOT21,pct_actifs_voiture,0.396,0.179,0.216
DISP_PCHO21,pct_hlm,0.562,0.346,0.216
DISP_PPFAM21,pct_chomage,0.634,0.419,0.215
taille_menage_moy,bpe_total_pour1000,0.01,0.225,0.215
taille_menage_moy,pct_hlm,-0.003,0.211,0.215
DISP_PPFAM21,pct_appart,0.148,-0.066,0.214
taille_menage_moy,pct_actifs_marche,0.029,0.242,0.213
DISP_RD21,DISP_S80S2021,0.853,0.64,0.213
DISP_PIMPOT21,pct_garage,-0.021,-0.233,0.212
DISP_PPFAM21,pct_maison,-0.148,0.064,0.212
DISP_PPFAM21,bpe_E_transports_pour1000,0.249,0.037,0.212
pct_actifs_velo,bpe_E_transports_pour1000,-0.005,0.208,0.212
bpe_D_sante_pour1000,bpe_E_transports_pour1000,-0.047,0.164,0.211
pct_actifs_transports,pct_chauffage_autre,-0.532,-0.744,0.211
pct_etrangers,DISP_GI21,0.3,0.511,0.211
