,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
pct_etrangers,-0.15809823307585416,0.048223877596380714,0.05812743139733687,-0.056919640881801424,0.03898060870111008,-0.19788481524310203,0.1108944012923666,-0.0007177604276522673,0.15070607687020915,0.0009265706014075798,-0.05954953946125329,0.002450748443991908,-0.02462901379239463
pct_immigres,-0.16271926179154128,0.033854814777311476,0.0668348446224917,-0.031546936582141215,0.027728205600706178,-0.2128679297611026,0.11304964414323027,-0.0076432151104326804,0.16498490691263903,0.012956001366747393,-0.046235833827066544,0.0005374140957601937,-0.02561479955950987
age_moyen,0.1025856776975288,0.00703094467713461,-0.2575313755795974,0.1744815807107719,-0.016054734794217262,-0.11439351790483554,-0.0658939002169594,0.05017326783717932,0.08235176743403183,0.02448809830952156,0.0037311762409001775,-0.007200885219714412,0.022640688318778416
pct_femmes,-0.05232675699134915,-0.013055615435231371,-0.10477552335278706,0.27232793931541255,-0.07945862749523744,-0.02103889327088404,-0.012965736009419193,-0.07985914540225816,-0.187123231522799,0.06194923422679664,0.13599782363553664,-0.1686215393857152,0.04500214515693966
taille_menage_moy,-0.002581458668490553,0.0027242828522898166,-0.008329778816418387,-0.007724532396245792,0.016297410456718134,0.05696249991013991,0.021583171303726084,0.0399001374333033,0.10790179808552838,-0.044224978961199715,-0.1590306016314838,0.23444771335653994,0.6631788740381761
pct_hors_menage,-0.023574113873831435,0.01651336993054331,-0.07512571282117964,-0.0239830152024057,0.048140596097066446,0.23505716454282743,0.058360042158718026,0.0944596851644299,0.3688585524942619,-0.13851261794218092,-0.24938484936856606,0.19661501840796405,0.22985519852513378
ecart_csp_plus_hf,-0.03541752805227208,-0.13254737852504508,0.03936612677979878,0.10136234970004654,0.021212413789590476,0.07309603210051335,0.05600124484953989,-0.06928942193256249,-0.10130390599150904,0.10169449963980408,0.15019444116639816,0.05955047697187889,0.07203518211609766
pct_0_19,-0.029508770477364905,0.06903815482107963,0.2602421933484895,-0.06890281561014006,0.061504737384663305,0.03259571623091145,0.2238968152444457,-0.12382129281607286,-0.06224028448107605,-0.027300569862592525,0.08752540920186667,-0.044281985044118094,0.03780197383029776
pct_20_64,-0.09535057554560548,-0.10346460551394028,0.13513307301170746,-0.21891020025610597,-0.046585590795170495,0.10225394349857098,-0.15694144740352395,0.026851824904028185,-0.06486967747945244,-0.014958911833833967,-0.11513790249455008,0.07427621826931088,-0.0716727030358913
pct_65_plus,0.08796416482871212,0.030246225691229298,-0.26559220443502124,0.20269750771199443,-0.006008579993652674,-0.09494603723621384,-0.031013623743912866,0.060480397428597364,0.08704944032625822,0.0284276976447402,0.026756238959383977,-0.02512004952725127,0.027419031530825172
pct_csp_agriculteur,0.07980302617120204,0.0328563581729729,-0.04505007219262785,-0.18210827663305795,0.12548453538901183,-0.10372310589752656,-0.1720674598643804,-0.01246833190415383,0.0036044393653686946,0.12852027904085653,0.06186392743628638,-0.007405903776839413,0.08003044398133993
pct_csp_independant,0.06408570470048686,-0.05931690216607831,-0.06762002345485617,-0.14927375092052408,-0.04201081750521163,-0.1708825478971768,0.20677610207051922,0.14262745608377944,-0.09930610325643685,0.12042517920016355,0.008651984210390873,-0.10005163105702287,0.06051932061518883
pct_csp_plus,-0.0756838573618077,-0.2205808863704107,0.02529875848899651,0.02505531157875012,0.0774179627348429,-0.013072318509313646,-0.033777391313737304,-0.06767059830121655,-0.06269013969885112,0.07019158491837568,0.12448280766504471,0.05794086782673286,0.07293531963761468
pct_csp_intermediaire,0.02276316636483501,-0.13726739994454024,0.17203798837268713,-0.021456649518426733,-0.15909803635693542,0.10273571119050708,-0.034639487236612865,-0.018398360385548783,-0.10265427757281531,0.08579461374390962,0.03471074473041047,-0.0017633270981956758,-0.019667520894817686
