variable,type,raw_skew,best_transform,post_transform_skew,improvement,recommend
pct_etrangers,pct,2.63,sqrt,0.99,1.64,sqrt
pct_immigres,pct,2.27,sqrt,0.95,1.32,sqrt
age_moyen,years,0.37,raw,0.37,0.0,none
pct_femmes,pct,-1.04,raw,-1.04,0.0,none
taille_menage_moy,count,156.95,log1p,56.97,99.98,log1p
pct_hors_menage,pct,7.92,sqrt,2.18,5.75,sqrt
ecart_csp_plus_hf,pct,-0.21,raw,-0.21,0.0,none
pct_0_19,pct,-0.06,raw,-0.06,0.0,none
pct_20_64,pct,0.22,raw,0.22,0.0,none
pct_65_plus,pct,0.71,raw,0.71,0.0,none
pct_csp_agriculteur,pct,3.42,sqrt,1.18,2.23,sqrt
pct_csp_independant,pct,1.96,sqrt,-0.32,1.65,sqrt
pct_csp_plus,pct,1.87,sqrt,0.13,1.74,sqrt
pct_csp_intermediaire,pct,0.4,raw,0.4,0.0,none
pct_csp_employe,pct,0.43,raw,0.43,0.0,none
pct_csp_ouvrier,pct,0.71,raw,0.71,0.0,none
pct_csp_retraite,pct,0.51,raw,0.51,0.0,none
pct_csp_sans_emploi,pct,1.55,sqrt,-0.52,1.04,sqrt
DISP_MED21,euro,1.61,log1p,0.39,1.22,log1p
DISP_TP6021,ratio,2.01,raw,2.01,0.0,none
DISP_GI21,ratio,2.79,raw,2.79,0.0,none
DISP_RD21,ratio,4.78,raw,4.78,0.0,none
DISP_S80S2021,ratio,5.85,raw,5.85,0.0,none
DISP_PTSA21,share,0.45,raw,0.45,0.0,none
DISP_PPAT21,share,4.57,raw,4.57,0.0,none
DISP_PPEN21,share,0.16,raw,0.16,0.0,none
DISP_PPSOC21,share,3.08,raw,3.08,0.0,none
DISP_PCHO21,share,1.45,raw,1.45,0.0,none
DISP_PPFAM21,share,3.17,raw,3.17,0.0,none
DISP_PPLOGT21,share,3.26,raw,3.26,0.0,none
DISP_PPMINI21,share,3.19,raw,3.19,0.0,none
DISP_PIMPOT21,share,-2.08,raw,-2.08,0.0,none
DISP_PACT21,share,0.48,raw,0.48,0.0,none
pct_sup5,pct,2.74,sqrt,1.36,1.38,sqrt
pct_sans_diplome,pct,0.8,raw,0.8,0.0,none
pct_capbep,pct,-0.67,raw,-0.67,0.0,none
pct_bac_plus,pct,1.36,sqrt,0.7,0.66,sqrt
pct_chomage,pct,1.73,sqrt,0.38,1.35,sqrt
pct_cdi,pct,-1.8,raw,-1.8,0.0,none
pct_cdd,pct,2.59,sqrt,0.42,2.17,sqrt
pct_interim,pct,2.11,sqrt,-0.14,1.96,sqrt
pct_temps_partiel,pct,1.64,sqrt,0.32,1.32,sqrt
pct_inactif,pct,1.57,sqrt,0.73,0.84,sqrt
pct_etudiants,pct,3.89,sqrt,0.58,3.32,sqrt
pct_actifs_voiture,pct,-0.87,raw,-0.87,0.0,none
pct_actifs_transports,pct,2.52,sqrt,1.15,1.38,sqrt
pct_actifs_velo,pct,3.72,sqrt,1.18,2.54,sqrt
pct_actifs_2roues,pct,4.64,sqrt,0.99,3.66,sqrt
pct_actifs_marche,pct,2.99,sqrt,0.53,2.46,sqrt
pct_proprietaires,pct,-1.37,raw,-1.37,0.0,none
pct_locataires,pct,1.42,sqrt,0.74,0.68,sqrt
pct_hlm,pct,3.09,sqrt,1.26,1.83,sqrt
pct_logvac,pct,1.24,sqrt,-0.02,1.22,sqrt
pct_maison,pct,-1.38,raw,-1.38,0.0,none
pct_appart,pct,1.38,sqrt,0.77,0.61,sqrt
pct_petits_logements,pct,3.24,sqrt,1.32,1.92,sqrt
pct_grands_logements,pct,0.16,raw,0.16,0.0,none
pct_logements_anciens,pct,0.86,raw,0.86,0.0,none
pct_logements_recents,pct,1.59,sqrt,-0.03,1.57,sqrt
pct_voiture_0,pct,2.53,sqrt,1.31,1.22,sqrt
pct_voiture_2plus,pct,-0.78,raw,-0.78,0.0,none
surface_moyenne,count,-0.96,raw,-0.96,0.0,none
pct_suroccupation,pct,1.05,sqrt,0.04,1.02,sqrt
pct_chauffage_elec,pct,0.56,raw,0.56,0.0,none
pct_chauffage_fioul,pct,0.63,raw,0.63,0.0,none
pct_chauffage_gaz_ville,pct,0.92,raw,0.92,0.0,none
pct_chauffage_gaz_bouteille,pct,2.4,sqrt,0.35,2.05,sqrt
pct_chauffage_autre,pct,0.26,raw,0.26,0.0,none
pct_garage,pct,-1.56,raw,-1.56,0.0,none
nb_pieces_moyen,count,-1.03,raw,-1.03,0.0,none
pct_studios,pct,4.24,sqrt,1.66,2.58,sqrt
pct_logements_5p_plus,pct,-0.69,raw,-0.69,0.0,none
bpe_total_pour1000,rate,2.7,log1p,0.16,2.54,log1p
bpe_A_services_pour1000,rate,2.04,log1p,-0.16,1.88,log1p
bpe_B_commerces_pour1000,rate,3.81,log1p,0.35,3.46,log1p
bpe_C_enseignement_pour1000,rate,1.83,log1p,0.45,1.38,log1p
bpe_D_sante_pour1000,rate,2.31,log1p,0.11,2.2,log1p
bpe_E_transports_pour1000,rate,2.86,log1p,1.5,1.35,log1p
bpe_F_sports_culture_pour1000,rate,2.43,log1p,-0.11,2.32,log1p
bpe_G_tourisme_pour1000,rate,4.11,log1p,2.11,2.0,log1p
bpe_educ_prioritaire_pour1000,rate,4.79,log1p,4.32,0.47,none
bpe_ecole_privee_pour1000,rate,5.16,log1p,2.49,2.68,log1p
bpe_sport_indoor_pour1000,rate,2.21,log1p,0.82,1.39,log1p
pct_sport_accessible,pct,0.11,raw,0.11,0.0,none
