,LE_PEN,MACRON,MELENCHON,AUTRE
pct_etrangers,0.019144783104557125,0.00473653187514362,0.008237057977718938,0.009328608438112432
pct_immigres,0.058179987047088356,0.011942042072832344,0.37678280386896235,0.0007826521823378164
age_moyen,0.005684367404543707,0.0026638729374546606,0.022593038354791616,0.05657034052842102
pct_femmes,0.001463109273953015,0.00544936799101624,0.004635993229214849,0.0010616255965829493
taille_menage_moy,0.004189378280534573,0.003669737805365764,0.0013420936443606839,0.00045148016021386223
pct_hors_menage,0.0026565929887292553,0.002973721966828396,0.0022121487248432993,0.0002250683775946696
ecart_csp_plus_hf,0.0019486438342606741,0.005956016644008521,0.00486483583863869,0.0012467821920135035
pct_0_19,0.004607958884166044,0.006436782765545656,0.00216346363205729,0.0009212072613679555
pct_20_64,0.006888490851790773,0.0057359609623271095,0.0020906896090665678,0.0011804437418366
pct_65_plus,0.006177152598550934,0.005431606907976171,0.005787291973326657,0.6050714849291888
pct_csp_agriculteur,0.007904795999532999,0.006083651700817396,0.0009705499316590709,0.059923349133350755
pct_csp_independant,0.0022013537608696846,0.0021623053111859084,0.002488590553380978,0.0016776598533968514
pct_csp_plus,0.008663999530186614,0.0071730073548363395,0.0036702552966588332,0.0013767384573227452
pct_csp_intermediaire,0.0024668391923929455,0.005186479573887093,0.007289679555281395,0.0012057011959230085
pct_csp_employe,0.005108117718505502,0.007259271935784979,0.0028672743357103744,0.002497404399623646
pct_csp_ouvrier,0.004621132473380348,0.010963603540018659,0.0019777098019100495,0.017215165086686125
pct_csp_retraite,0.012675611338759477,0.015751203627599162,0.00248410611430486,9.69078277085486e-05
pct_csp_sans_emploi,0.017419069907747695,0.01595513493739265,0.002471786313392717,0.0020091779401533315
DISP_MED21,0.0025411224428858094,0.04172123852822694,0.008587877300727662,0.0020853387508598022
DISP_TP6021,0.01607279103120635,0.061176736606816495,0.005259829867771394,0.0016778340024731827
DISP_GI21,0.0032941950591155165,0.004957904496931254,0.005019220032706031,0.00033187162990839755
DISP_RD21,0.007674485353050438,0.006211696587081902,0.0011346364834049101,0.0005778017932605524
DISP_S80S2021,0.009200788520912457,0.00394634061904792,0.0013325894873789743,0.002571226374425547
DISP_PTSA21,0.0022081405464844587,0.0026086974241847304,0.0035463882256697435,0.006559705224742337
