,score_lda_axe1,score_lda_axe2,score_peripherie_metropole,score_exploitation,score_domination,score_cap_cult,score_cap_eco,score_precarite,score_rentier,score_ruralite,score_urbanite,score_confort_residentiel,score_equipement_public
score_lda_axe1,1.0,0.1434058859161243,0.5660482920847424,0.36489136552244567,0.050785073427858256,-0.11003046104445037,0.3485594020125763,-0.3608284724520993,0.5428427149854149,0.5255484407546857,-0.6535111712804692,0.5905632613959324,-0.040858184322823086
score_lda_axe2,0.1434058859161243,1.0,-0.3983845506519215,0.1497307064309511,-0.00033997570288887076,0.16295685163447918,0.09747331171405767,0.13935138451514703,0.3927567931755108,-0.37606161753216266,0.3619538786908936,-0.36262867254400133,0.23010046836374418
score_peripherie_metropole,0.5660482920847424,-0.3983845506519215,1.0,0.015218985170364633,-0.3359761934633487,-0.5678020344182206,0.022351628090715652,-0.09715061601420426,0.2917239854159816,0.8861494165238554,-0.8393017897775812,0.7848292545159476,-0.18572441622273428
score_exploitation,0.36489136552244567,0.1497307064309511,0.015218985170364633,1.0,0.6424491952810796,0.4838061465460466,0.991394880716253,-0.7867859843485225,0.7190777506192929,0.1085402441980389,-0.30823735662173035,0.35842027620010136,0.12122430640881748
score_domination,0.050785073427858256,-0.00033997570288887076,-0.3359761934633487,0.6424491952810796,1.0,0.8998397110977348,0.663772935229085,-0.8004726262946898,0.13505216965060113,-0.1804000813518506,-0.10259322321236711,0.1885341355178131,-0.05786902608563224
score_cap_cult,-0.11003046104445037,0.16295685163447918,-0.5678020344182206,0.4838061465460466,0.8998397110977348,1.0,0.4943686446110658,-0.5957932516716196,-0.008127954327923594,-0.40636199771908177,0.1382857024561812,-0.055514086969771476,0.024318416614098278
score_cap_eco,0.3485594020125763,0.09747331171405767,0.022351628090715652,0.991394880716253,0.663772935229085,0.4943686446110658,1.0,-0.8067580533022501,0.6894762210675988,0.11398883742172741,-0.3212764471863564,0.37775617158565855,0.12026074418909151
score_precarite,-0.3608284724520993,0.13935138451514703,-0.09715061601420426,-0.7867859843485225,-0.8004726262946898,-0.5957932516716196,-0.8067580533022501,1.0,-0.35907332294257177,-0.21798892399229283,0.47419887384756293,-0.5278021529180527,0.06923412220201534
score_rentier,0.5428427149854149,0.3927567931755108,0.2917239854159816,0.7190777506192929,0.13505216965060113,-0.008127954327923594,0.6894762210675988,-0.35907332294257177,1.0,0.2955873472344323,-0.33362418007439526,0.32493539136276606,0.1670194117499564
score_ruralite,0.5255484407546857,-0.37606161753216266,0.8861494165238554,0.1085402441980389,-0.1804000813518506,-0.40636199771908177,0.11398883742172741,-0.21798892399229283,0.2955873472344323,1.0,-0.8216707657476437,0.7576073865808549,-0.13373171915193197
score_urbanite,-0.6535111712804692,0.3619538786908936,-0.8393017897775812,-0.30823735662173035,-0.10259322321236711,0.1382857024561812,-0.3212764471863564,0.47419887384756293,-0.33362418007439526,-0.8216707657476437,1.0,-0.9524233588250773,0.28606966413095686
score_confort_residentiel,0.5905632613959324,-0.36262867254400133,0.7848292545159476,0.35842027620010136,0.1885341355178131,-0.055514086969771476,0.37775617158565855,-0.5278021529180527,0.32493539136276606,0.7576073865808549,-0.9524233588250773,1.0,-0.23752128387615853
score_equipement_public,-0.040858184322823086,0.23010046836374418,-0.18572441622273428,0.12122430640881748,-0.05786902608563224,0.024318416614098278,0.12026074418909151,0.06923412220201534,0.1670194117499564,-0.13373171915193197,0.28606966413095686,-0.23752128387615853,1.0
