variable,kept
pct_immigres,True
pct_csp_retraite,True
pct_femmes,True
taille_menage_moy,True
pct_hors_menage,True
ecart_csp_plus_hf,True
pct_0_19,True
pct_20_64,True
pct_csp_agriculteur,True
pct_csp_independant,True
pct_bac_plus,True
pct_csp_intermediaire,True
pct_csp_employe,True
pct_csp_ouvrier,True
pct_csp_sans_emploi,True
DISP_MED21,True
DISP_TP6021,True
DISP_S80S2021,True
DISP_PACT21,True
DISP_PPAT21,True
DISP_PCHO21,True
pct_sans_diplome,True
pct_chomage,True
pct_cdi,True
pct_interim,True
pct_temps_partiel,True
pct_inactif,True
pct_etudiants,True
pct_actifs_voiture,True
pct_actifs_velo,True
pct_actifs_2roues,True
pct_actifs_marche,True
pct_maison,True
pct_hlm,True
pct_logvac,True
pct_petits_logements,True
pct_logements_anciens,True
pct_logements_recents,True
pct_suroccupation,True
pct_chauffage_elec,True
pct_chauffage_fioul,True
pct_chauffage_gaz_ville,True
pct_chauffage_gaz_bouteille,True
pct_chauffage_autre,True
pct_garage,True
bpe_total_pour1000,True
bpe_B_commerces_pour1000,True
bpe_C_enseignement_pour1000,True
bpe_D_sante_pour1000,True
bpe_E_transports_pour1000,True
bpe_F_sports_culture_pour1000,True
bpe_G_tourisme_pour1000,True
bpe_educ_prioritaire_pour1000,True
bpe_ecole_privee_pour1000,True
bpe_sport_indoor_pour1000,True
pct_sport_accessible,True
