var1,var2,MI,MI_norm,r2,gap_MI_r2
bpe_C_enseignement_pour1000,bpe_sport_indoor_pour1000,1.1894,0.3301,0.0473,0.2827
taille_menage_moy,pct_hors_menage,2.655,0.7368,0.5144,0.2224
bpe_C_enseignement_pour1000,bpe_F_sports_culture_pour1000,0.785,0.2178,0.0203,0.1976
bpe_C_enseignement_pour1000,bpe_E_transports_pour1000,0.5976,0.1659,0.0001,0.1658
bpe_B_commerces_pour1000,bpe_C_enseignement_pour1000,0.669,0.1857,0.0218,0.1639
bpe_C_enseignement_pour1000,bpe_G_tourisme_pour1000,0.4775,0.1325,0.0053,0.1272
bpe_C_enseignement_pour1000,bpe_D_sante_pour1000,0.5521,0.1532,0.0275,0.1257
bpe_E_transports_pour1000,bpe_sport_indoor_pour1000,0.3867,0.1073,0.001,0.1063
DISP_PCHO21,pct_chauffage_autre,0.3887,0.1079,0.0033,0.1046
pct_csp_independant,pct_csp_plus,0.3429,0.0952,0.0,0.0951
bpe_B_commerces_pour1000,bpe_F_sports_culture_pour1000,0.3372,0.0936,0.0025,0.0911
bpe_F_sports_culture_pour1000,pct_sport_accessible,0.4256,0.1181,0.0293,0.0888
pct_csp_plus,pct_csp_sans_emploi,0.3174,0.0881,0.0003,0.0878
bpe_F_sports_culture_pour1000,bpe_sport_indoor_pour1000,0.8095,0.2247,0.1377,0.087
pct_csp_independant,pct_csp_intermediaire,0.3114,0.0864,0.0032,0.0833
DISP_RD21,DISP_PCHO21,0.3196,0.0887,0.0063,0.0824
pct_csp_employe,pct_csp_sans_emploi,0.2915,0.0809,0.0001,0.0808
pct_csp_intermediaire,pct_csp_employe,0.2854,0.0792,0.0006,0.0786
bpe_B_commerces_pour1000,bpe_sport_indoor_pour1000,0.3652,0.1014,0.0233,0.0781
pct_csp_agriculteur,pct_csp_independant,0.2748,0.0763,0.0004,0.0759
DISP_PPFAM21,pct_chauffage_autre,0.2829,0.0785,0.0027,0.0758
pct_csp_independant,pct_csp_employe,0.3306,0.0917,0.0167,0.075
bpe_G_tourisme_pour1000,bpe_sport_indoor_pour1000,0.2988,0.0829,0.0103,0.0726
pct_csp_employe,pct_csp_ouvrier,0.3048,0.0846,0.0129,0.0717
pct_csp_ouvrier,pct_csp_sans_emploi,0.2837,0.0787,0.0086,0.0701
pct_csp_independant,pct_csp_sans_emploi,0.3626,0.1006,0.0312,0.0695
DISP_PCHO21,pct_logements_anciens,0.2568,0.0713,0.0021,0.0692
pct_csp_agriculteur,bpe_C_enseignement_pour1000,0.2532,0.0703,0.0021,0.0682
bpe_D_sante_pour1000,bpe_F_sports_culture_pour1000,0.2648,0.0735,0.0055,0.068
DISP_S80S2021,bpe_C_enseignement_pour1000,0.2464,0.0684,0.0018,0.0666
bpe_E_transports_pour1000,bpe_G_tourisme_pour1000,0.2391,0.0664,0.0002,0.0662
