variable,var_total,var_inter_dept,ICC,signal
pct_actifs_transports,309.8329,224.3888,0.7242,territorial
bpe_E_transports_pour1000,3.2435,1.8461,0.5692,territorial
pct_actifs_voiture,511.9633,282.3141,0.5514,territorial
DISP_PTSA21,123.2167,60.4557,0.4906,territorial
pct_csp_plus,65.2765,31.8793,0.4884,territorial
pct_sup5,111.6361,53.3369,0.4778,territorial
DISP_PACT21,128.998,60.9682,0.4726,territorial
pct_voiture_0,244.6173,114.317,0.4673,territorial
pct_capbep,56.7491,26.426,0.4657,territorial
pct_immigres,78.7945,34.6268,0.4395,territorial
DISP_RD21,0.7561,0.2995,0.3961,territorial
pct_chauffage_elec,271.5523,104.9464,0.3865,territorial
pct_bac_plus,212.4781,81.4959,0.3835,territorial
DISP_PPEN21,70.8847,27.1303,0.3827,territorial
pct_etrangers,56.1898,20.0663,0.3571,territorial
DISP_PIMPOT21,19.1312,6.7372,0.3522,territorial
pct_maison,1189.3412,418.2386,0.3517,territorial
pct_appart,1168.7064,407.2374,0.3485,territorial
pct_actifs_2roues,3.923,1.3612,0.347,territorial
nb_pieces_moyen,0.617,0.2117,0.3432,territorial
pct_csp_retraite,85.8793,28.7185,0.3344,territorial
pct_logements_5p_plus,375.5651,123.8962,0.3299,territorial
pct_petits_logements,128.98,40.6791,0.3154,territorial
age_moyen,23.8666,7.2153,0.3023,territorial
DISP_GI21,0.0024,0.0007,0.3004,territorial
surface_moyenne,299.2155,89.8285,0.3002,territorial
pct_65_plus,55.9044,16.7657,0.2999,mixte
pct_chauffage_fioul,76.0071,22.5517,0.2967,mixte
pct_chauffage_autre,215.8558,62.0481,0.2875,mixte
pct_chauffage_gaz_ville,754.9447,204.9009,0.2714,mixte
pct_voiture_2plus,319.9468,85.315,0.2667,mixte
pct_csp_ouvrier,31.1312,8.2764,0.2659,mixte
pct_suroccupation,716.8638,190.0175,0.2651,mixte
DISP_MED21,23612127.9149,6249556.4067,0.2647,mixte
DISP_S80S2021,2.6581,0.6987,0.2628,mixte
pct_studios,57.7633,15.09,0.2612,mixte
pct_temps_partiel,21.8711,5.5808,0.2552,mixte
pct_20_64,29.2113,7.039,0.241,mixte
pct_garage,393.7005,93.9494,0.2386,mixte
pct_0_19,23.2726,5.2717,0.2265,mixte
bpe_F_sports_culture_pour1000,13.4774,2.7836,0.2065,mixte
pct_actifs_velo,15.9966,3.2422,0.2027,mixte
pct_logements_anciens,144.7831,29.1663,0.2014,mixte
pct_sans_diplome,69.3086,13.333,0.1924,mixte
pct_grands_logements,151.5197,29.1463,0.1924,mixte
ecart_csp_plus_hf,18.1122,2.9606,0.1635,mixte
pct_proprietaires,459.6427,74.6264,0.1624,mixte
pct_locataires,457.1336,69.8016,0.1527,mixte
DISP_PCHO21,0.7686,0.1166,0.1517,mixte
pct_logvac,16.5907,2.4315,0.1466,mixte
pct_csp_agriculteur,3.2725,0.4742,0.1449,mixte
pct_interim,2.8071,0.4026,0.1434,mixte
DISP_PPAT21,27.7932,3.9794,0.1432,mixte
bpe_A_services_pour1000,123.4151,17.5914,0.1425,mixte
pct_chauffage_gaz_bouteille,4.3118,0.6051,0.1403,mixte
pct_csp_sans_emploi,50.9989,7.106,0.1393,mixte
pct_logements_recents,137.3459,18.7006,0.1362,mixte
pct_csp_intermediaire,19.7315,2.6706,0.1353,mixte
pct_csp_independant,3.9379,0.5246,0.1332,mixte
DISP_PPFAM21,1.7108,0.2257,0.1319,mixte
pct_chomage,33.2489,4.1255,0.1241,mixte
DISP_TP6021,88.3089,10.7848,0.1221,mixte
pct_sport_accessible,199.2871,22.1727,0.1113,mixte
pct_etudiants,24.065,2.5997,0.108,mixte
pct_hlm,305.1903,32.3219,0.1059,mixte
DISP_PPSOC21,20.7869,2.1736,0.1046,mixte
pct_inactif,39.3706,4.0168,0.102,mixte
DISP_PPMINI21,5.6528,0.5646,0.0999,local
pct_cdd,19.7352,1.9502,0.0988,local
bpe_G_tourisme_pour1000,1.7864,0.1754,0.0982,local
pct_csp_employe,18.356,1.7658,0.0962,local
bpe_sport_indoor_pour1000,1.1155,0.1012,0.0907,local
bpe_total_pour1000,583.6314,52.2805,0.0896,local
DISP_PPLOGT21,1.2297,0.1063,0.0864,local
pct_cdi,36.1468,2.7894,0.0772,local
pct_actifs_marche,35.0762,2.5197,0.0718,local
bpe_D_sante_pour1000,66.7816,3.8663,0.0579,local
bpe_educ_prioritaire_pour1000,0.0809,0.0041,0.0509,local
pct_femmes,6.2247,0.3018,0.0485,local
bpe_ecole_privee_pour1000,6888.6997,282.0642,0.0409,local
bpe_B_commerces_pour1000,47.8353,1.6943,0.0354,local
bpe_C_enseignement_pour1000,1.0252,0.0298,0.0291,local
pct_hors_menage,17.8226,0.1655,0.0093,local
taille_menage_moy,2.3337,0.0019,0.0008,local
