pair,variable,mean_A,mean_B,diff,cohen_d,abs_d
LE_PEN_vs_MELENCHON,pct_maison,77.823,26.79,51.033,1.976,1.976
LE_PEN_vs_MELENCHON,pct_appart,21.373,71.722,-50.349,-1.964,1.964
LE_PEN_vs_MELENCHON,pct_voiture_2plus,45.293,20.239,25.054,1.902,1.902
LE_PEN_vs_MELENCHON,pct_immigres,5.534,20.311,-14.777,-1.882,1.882
LE_PEN_vs_MELENCHON,pct_actifs_voiture,84.372,51.31,33.062,1.87,1.87
LE_PEN_vs_MELENCHON,pct_actifs_transports,4.362,31.321,-26.959,-1.866,1.866
LE_PEN_vs_MELENCHON,surface_moyenne,93.741,69.423,24.318,1.847,1.847
LE_PEN_vs_MELENCHON,nb_pieces_moyen,4.44,3.375,1.065,1.778,1.778
LE_PEN_vs_MELENCHON,pct_logements_5p_plus,45.695,19.856,25.839,1.77,1.77
LE_PEN_vs_MELENCHON,pct_capbep,29.388,19.906,9.483,1.75,1.75
LE_PEN_vs_MELENCHON,pct_etrangers,3.803,15.746,-11.942,-1.699,1.699
LE_PEN_vs_MELENCHON,pct_locataires,29.261,59.299,-30.038,-1.592,1.592
LE_PEN_vs_MELENCHON,pct_proprietaires,68.574,38.725,29.848,1.591,1.591
LE_PEN_vs_MELENCHON,pct_voiture_0,9.999,31.37,-21.371,-1.585,1.585
LE_PEN_vs_MELENCHON,pct_grands_logements,20.654,6.237,14.417,1.583,1.583
LE_PEN_vs_MELENCHON,pct_chauffage_gaz_ville,25.898,58.105,-32.206,-1.321,1.321
LE_PEN_vs_MELENCHON,DISP_PCHO21,2.939,4.018,-1.079,-1.314,1.314
LE_PEN_vs_MELENCHON,pct_csp_retraite,29.638,19.777,9.86,1.257,1.257
LE_PEN_vs_MELENCHON,pct_garage,74.29,51.799,22.491,1.245,1.245
LE_PEN_vs_MELENCHON,pct_chauffage_autre,22.05,5.83,16.22,1.232,1.232
LE_PEN_vs_MELENCHON,pct_suroccupation,25.139,53.875,-28.736,-1.173,1.173
LE_PEN_vs_MELENCHON,pct_petits_logements,4.546,17.304,-12.757,-1.164,1.164
LE_PEN_vs_MELENCHON,age_moyen,43.212,38.262,4.95,1.156,1.156
LE_PEN_vs_MELENCHON,DISP_RD21,2.758,3.428,-0.67,-1.152,1.152
LE_PEN_vs_MELENCHON,pct_chauffage_fioul,12.266,3.785,8.482,1.112,1.112
LE_PEN_vs_MELENCHON,pct_csp_sans_emploi,14.898,22.837,-7.939,-1.076,1.076
LE_PEN_vs_MELENCHON,pct_sup5,5.633,13.752,-8.119,-1.056,1.056
LE_PEN_vs_MELENCHON,DISP_PPEN21,30.365,22.683,7.682,1.049,1.049
LE_PEN_vs_MELENCHON,pct_studios,1.791,9.739,-7.948,-1.044,1.044
LE_PEN_vs_MELENCHON,pct_65_plus,22.196,15.617,6.579,1.035,1.035
LE_PEN_vs_MELENCHON,DISP_TP6021,14.51,24.447,-9.937,-1.033,1.033
LE_PEN_vs_MELENCHON,bpe_E_transports_pour1000,0.691,2.709,-2.018,-0.998,0.998
LE_PEN_vs_MELENCHON,pct_hlm,10.07,29.147,-19.078,-0.962,0.962
LE_PEN_vs_MELENCHON,DISP_PPLOGT21,1.121,2.258,-1.137,-0.916,0.916
LE_PEN_vs_MELENCHON,DISP_GI21,0.24,0.271,-0.031,-0.914,0.914
LE_PEN_vs_MELENCHON,pct_actifs_velo,1.281,4.931,-3.65,-0.904,0.904
LE_PEN_vs_MELENCHON,pct_etudiants,8.197,12.699,-4.501,-0.895,0.895
LE_PEN_vs_MELENCHON,pct_bac_plus,23.988,34.284,-10.296,-0.867,0.867
LE_PEN_vs_MELENCHON,pct_chauffage_gaz_bouteille,2.256,0.659,1.597,0.85,0.85
LE_PEN_vs_MELENCHON,pct_csp_plus,5.645,10.88,-5.235,-0.844,0.844
