variable,label,r_pearson,r_weighted,p_value
DISP_TP6021,Taux pauvreté %,0.5571,0.7237,0.0
DISP_PPMINI21,% minimas sociaux,0.5736,0.7108,0.0
DISP_PPLOGT21,% aides logement,0.578,0.7061,0.0
DISP_PPSOC21,% prestations sociales,0.5333,0.6993,0.0
pct_chomage,% chômage,0.5378,0.6822,0.0
pct_sans_diplome,% sans diplôme,0.4665,0.6285,0.0
DISP_PPFAM21,% prestations familiales,0.4783,0.6156,0.0
pct_hlm,% HLM,0.5507,0.5835,0.0
pct_locataires,% locataires,0.5537,0.5772,0.0
pct_grands_logements,% grands logements,-0.5436,-0.5729,0.0
pct_proprietaires,% propriétaires,-0.5524,-0.5726,0.0
DISP_MED21,Revenu médian €/UC,-0.4031,-0.5725,0.0
pct_csp_sans_emploi,% sans emploi,0.4637,0.5627,0.0
DISP_PCHO21,% allocations chômage,0.4119,0.5568,0.0
pct_etrangers,% étrangers,0.4675,0.5265,0.0
pct_immigres,% immigrés,0.4698,0.5096,0.0
pct_garage,% garage,-0.4891,-0.5056,0.0
pct_inactif,% inactifs,0.4188,0.5033,0.0
pct_voiture_2plus,% 2+ voitures,-0.5308,-0.5031,0.0
surface_moyenne,Surface moy. m²,-0.5259,-0.4805,0.0
pct_logements_5p_plus,% 5+ pièces,-0.489,-0.4648,0.0
pct_chauffage_gaz_ville,% chauffage gaz ville,0.4907,0.4626,0.0
DISP_PIMPOT21,% impôts (négatif),0.2738,0.4515,0.0
bpe_educ_prioritaire_pour1000,Éduc. prioritaire /1000,0.3576,0.4317,0.0
pct_cdi,% CDI,-0.2843,-0.4237,0.0
pct_maison,% maisons,-0.4689,-0.422,0.0
pct_appart,% appartements,0.4683,0.4212,0.0
pct_interim,% intérim,0.2428,0.4095,0.0
nb_pieces_moyen,Nb pièces moy.,-0.4605,-0.4017,0.0
pct_bac_plus,% BAC+,-0.2165,-0.3873,0.0
pct_voiture_0,% 0 voiture,0.44,0.3827,0.0
pct_chauffage_autre,% chauffage autre,-0.3934,-0.3736,0.0
pct_csp_intermediaire,% prof. intermédiaires,-0.184,-0.3511,0.0
pct_chauffage_fioul,% chauffage fioul,-0.3431,-0.3329,0.0
pct_csp_plus,% cadres sup.,-0.1336,-0.3282,1.611297943881687e-180
pct_cdd,% CDD,0.1877,0.3248,0.0
pct_csp_employe,% employés,0.1557,0.2971,2.697941101123985e-245
pct_chauffage_gaz_bouteille,% chauffage gaz bout.,-0.2742,-0.297,0.0
pct_csp_independant,% indépendants,-0.1719,-0.2951,3.642916737146808e-299
DISP_PPAT21,% patrimoine,-0.1944,-0.2873,0.0
pct_logements_anciens,% logements anciens,-0.2874,-0.2786,0.0
pct_csp_ouvrier,% ouvriers,0.0841,0.2784,2.2965183184028234e-72
pct_sup5,% BAC+5,-0.0926,-0.2667,2.5761635121642876e-87
pct_actifs_marche,% marche,0.2331,0.2595,0.0
DISP_PACT21,% revenus activité,-0.1066,-0.2577,2.7307758059041324e-115
pct_suroccupation,% suroccupation,0.2076,0.2255,0.0
pct_chauffage_elec,% chauffage élec.,-0.0765,-0.2247,4.4382549293932456e-60
pct_csp_agriculteur,% agriculteurs,-0.1917,-0.223,0.0
pct_0_19,% 0-19 ans,0.1128,0.2225,6.083322819663853e-129
DISP_PTSA21,% salaires,-0.0719,-0.2145,3.1552772137240673e-53
bpe_E_transports_pour1000,Transports /1000,0.2188,0.2136,0.0
pct_logements_recents,% logements récents,-0.1889,-0.2105,0.0
pct_actifs_transports,% transports en commun,0.2837,0.2097,0.0
pct_actifs_voiture,% voiture,-0.2414,-0.2014,0.0
age_moyen,Âge moyen,-0.137,-0.2011,1.1629852904201712e-189
bpe_F_sports_culture_pour1000,Sports/culture /1000,-0.16,-0.1936,4.705407975415732e-259
pct_temps_partiel,% temps partiel,0.0219,0.1856,2.9264747293710097e-06
ecart_csp_plus_hf,Écart CSP+ H/F,-0.0156,-0.1837,0.0008841055602938873
pct_csp_retraite,% retraités,-0.1328,-0.1774,2.248000364512065e-178
pct_petits_logements,% petits logements,0.2679,0.1706,0.0
pct_logvac,% logements vacants,0.0877,0.1631,1.8446672037963048e-78
pct_femmes,% femmes,0.1901,0.1446,0.0
pct_studios,% studios,0.2104,0.1215,0.0
pct_65_plus,% 65+ ans,-0.0669,-0.1152,2.5531302499779188e-46
pct_etudiants,% étudiants,0.1733,0.1045,3.5412300680942473e-304
bpe_D_sante_pour1000,Santé /1000,0.2228,0.0901,0.0
pct_hors_menage,% hors ménage,0.1227,0.0824,2.4096598828268745e-152
bpe_B_commerces_pour1000,Commerces /1000,0.1579,0.0754,2.7828690898460784e-252
DISP_S80S2021,Ratio S80/S20,-0.1046,-0.0652,5.148182383724411e-111
bpe_G_tourisme_pour1000,Tourisme /1000,-0.0131,-0.0537,0.005052970362626389
bpe_A_services_pour1000,Services /1000,-0.0418,-0.0493,4.422026333211265e-19
DISP_RD21,Rapport interdécile D9/D1,0.1799,0.0458,0.0
bpe_C_enseignement_pour1000,Enseignement /1000,0.0302,0.0396,1.0676708922651495e-10
pct_20_64,% 20-64 ans,-0.0136,-0.0393,0.003616615815808019
pct_sport_accessible,% sport accessible,0.0553,0.0348,1.2649033975939071e-26
bpe_ecole_privee_pour1000,Écoles privées /1000,0.0904,0.0269,3.0806758299930267e-83
bpe_sport_indoor_pour1000,Sport indoor /1000,0.0209,-0.0255,8.052338848103813e-06
DISP_PPEN21,% pensions,0.0107,-0.0238,0.02258800155467167
DISP_GI21,Indice Gini,0.0816,-0.0183,3.1850272280110546e-68
pct_capbep,% CAP/BEP,-0.1039,0.0172,1.444571028918559e-109
bpe_total_pour1000,Équip. totaux /1000,0.0669,0.0171,2.617564432416702e-46
pct_actifs_2roues,% 2 roues,0.0784,0.0169,5.255256722650583e-63
taille_menage_moy,Taille ménage moy.,0.0226,0.0148,1.3432556563880597e-06
pct_actifs_velo,% vélo,0.1321,0.0141,2.2764446259152126e-176
