axis_x,axis_y,r_mutual,discriminant_power,variance_iris,interpretability,orthogonality,orthogonality_norm,discriminant_power_norm,variance_iris_norm,interpretability_norm,composite_score
score_precarite,score_peripherie_metropole,0.097,30.22,861.33,0.0769,0.903,0.9021190716448032,0.8927718040621265,0.7876518587414064,0.882998171846435,0.8730859504404318
score_pca_pc1_logement_confort,score_pca_pc2_composition_diplômes,0.009,30.54,961.21,0.0294,0.991,0.9909182643794148,0.9023297491039426,0.8834223470865177,0.014625228519195588,0.7919691451953871
score_urbanite,score_pca_pc2_composition_diplômes,0.009,26.25,872.45,0.0333,0.991,0.9909182643794148,0.7741935483870968,0.798314332013309,0.08592321755027428,0.7407945702845112
score_equipement_public,score_peripherie_metropole,0.186,17.67,803.92,0.0833,0.814,0.8123107971745711,0.5179211469534051,0.7326039639086787,1.0,0.7214864333677989
score_rentier,score_peripherie_metropole,0.292,22.68,687.28,0.0833,0.708,0.7053481331987891,0.6675627240143369,0.6207630572149083,1.0,0.7194040048076363
score_precarite,score_equipement_public,0.069,14.31,836.48,0.0769,0.931,0.9303733602421796,0.41756272401433686,0.7638242993163361,0.882998171846435,0.7104735471179043
score_confort_residentiel,score_pca_pc2_composition_diplômes,0.097,24.78,850.12,0.0357,0.903,0.9021190716448032,0.7302867383512545,0.776903088473598,0.1297989031078611,0.7010865330772788
score_exploitation,score_peripherie_metropole,0.015,21.65,550.36,0.0588,0.985,0.9848637739656912,0.6367980884109916,0.4894765607770566,0.5521023765996343,0.6990491317789109
score_cap_cult,score_pca_pc1_logement_confort,0.136,25.78,842.94,0.0357,0.864,0.8627648839556004,0.7601553166069295,0.7700185059113444,0.1297989031078611,0.6983573626475534
score_precarite,score_pca_pc1_logement_confort,0.483,30.44,1032.71,0.0417,0.517,0.5126135216952573,0.8993428912783751,0.9519805160560357,0.23948811700182818,0.6948733892174899
score_cap_eco,score_peripherie_metropole,0.022,22.08,561.32,0.0556,0.978,0.9778002018163471,0.6496415770609318,0.4999856171673492,0.49360146252285186,0.6947519553281278
score_precarite,score_ruralite,0.218,22.16,693.86,0.0588,0.782,0.7800201816347124,0.6520310633213858,0.6270723264711242,0.5521023765996343,0.6704467484370689
score_cap_cult,score_confort_residentiel,0.056,20.03,731.85,0.0455,0.944,0.9434914228052472,0.5884109916367981,0.6634992472984247,0.3089579524680073,0.6680348162443396
score_pca_pc3_équipements_démographie,score_peripherie_metropole,0.072,19.13,707.19,0.05,0.928,0.9273461150353179,0.5615292712066905,0.6398538704202665,0.3912248628884827,0.6613935829502627
score_pca_pc2_composition_diplômes,score_peripherie_metropole,0.456,30.31,789.82,0.0435,0.544,0.5398587285570131,0.8954599761051373,0.7190841012167878,0.2723948811700182,0.6600446626227622
score_domination,score_pca_pc1_logement_confort,0.111,23.8,808.35,0.0286,0.889,0.8879919273461151,0.701015531660693,0.7368516938182587,0.0,0.6591233530487288
score_precarite,score_urbanite,0.474,26.15,943.96,0.05,0.526,0.5216952573158427,0.7712066905615292,0.8668820895379277,0.3912248628884827,0.6584910662321459
score_precarite,score_rentier,0.359,19.32,719.84,0.0769,0.641,0.6377396569122099,0.5672043010752688,0.6519833926225659,0.882998171846435,0.6526898067514855
score_cap_cult,score_urbanite,0.138,21.5,754.18,0.0417,0.862,0.8607467204843592,0.6323178016726404,0.6849104908381356,0.23948811700182818,0.6524405624486331
score_rentier,score_pca_pc2_composition_diplômes,0.059,19.41,648.34,0.0435,0.941,0.9404641775983854,0.5698924731182795,0.5834252236530478,0.2723948811700182,0.6391458957770257
score_equipement_public,score_pca_pc1_logement_confort,0.214,17.9,975.31,0.0435,0.786,0.7840565085771948,0.5247909199522102,0.8969422097784086,0.2723948811700182,0.6391414486876164
score_pca_pc1_logement_confort,score_pca_pc3_équipements_démographie,0.103,19.36,878.57,0.0323,0.897,0.8960645812310797,0.5683990442054958,0.8041825277348958,0.06764168190127974,0.6387417976734185
score_precarite,score_confort_residentiel,0.528,24.69,921.62,0.0556,0.472,0.46720484359233094,0.7275985663082437,0.8454612574431161,0.49360146252285186,0.6379534221526355
score_rentier,score_pca_pc1_logement_confort,0.33,22.91,858.67,0.0435,0.67,0.6670030272452069,0.6744324970131421,0.7851013030846382,0.2723948811700182,0.634031774920592
score_cap_cult,score_rentier,0.008,14.66,530.07,0.0588,0.992,0.9919273461150353,0.42801672640382316,0.4700213824778745,0.5521023765996343,0.6242036910613689
score_equipement_public,score_pca_pc2_composition_diplômes,0.029,14.41,764.97,0.0435,0.971,0.970736629667003,0.4205495818399044,0.6952565417917176,0.2723948811700182,0.6183238830779136
score_pca_pc1_logement_confort,score_peripherie_metropole,0.851,33.81,1000.16,0.0435,0.149,0.14127144298688193,1.0,0.9207697692034789,0.2723948811700182,0.617394618912263
score_domination,score_urbanite,0.103,19.51,719.59,0.0323,0.897,0.8960645812310797,0.5728793309438471,0.65174367874505,0.06764168190127974,0.6098221282338724
score_pca_pc1_logement_confort,score_pca_pc5_équipements_csp,0.059,17.46,709.94,0.0323,0.941,0.9404641775983854,0.5116487455197133,0.6424907230729403,0.06764168190127974,0.5998607111111953
score_precarite,score_pca_pc3_équipements_démographie,0.161,15.77,739.74,0.0476,0.839,0.8375378405650857,0.4611708482676224,0.6710646172728233,0.3473491773308959,0.5989864491173926
score_confort_residentiel,score_peripherie_metropole,0.785,28.05,889.07,0.0588,0.215,0.20787083753784055,0.8279569892473118,0.8142505105905593,0.5521023765996343,0.5978116561059683
score_rentier,score_confort_residentiel,0.325,17.15,747.58,0.0588,0.675,0.6720484359233099,0.502389486260454,0.6785820444717187,0.5521023765996343,0.5959826163524407
score_rentier,score_urbanite,0.334,18.62,769.92,0.0526,0.666,0.6629667003027245,0.5462962962962963,0.7000028765665303,0.4387568555758684,0.5959078174442073
score_cap_cult,score_peripherie_metropole,0.568,25.56,671.55,0.0588,0.432,0.42684157416750756,0.7535842293906809,0.6056802600416143,0.5521023765996343,0.5957583610352586
score_confort_residentiel,score_equipement_public,0.238,12.14,864.22,0.0588,0.762,0.7598385469223007,0.3527479091995221,0.790422951165489,0.5521023765996343,0.592313279019566
score_domination,score_peripherie_metropole,0.336,23.58,636.96,0.0417,0.664,0.6609485368314834,0.6944444444444443,0.5725134479485288,0.23948811700182818,0.5917660237449804
score_cap_cult,score_equipement_public,0.024,9.65,646.7,0.0588,0.976,0.9757820383451059,0.27837514934289126,0.5818527006165443,0.5521023765996343,0.5893518103867976
score_pca_pc5_équipements_csp,score_peripherie_metropole,0.143,17.23,538.55,0.05,0.857,0.8557013118062563,0.504778972520908,0.4781524772032103,0.3912248628884827,0.5876972587981091
score_rentier,score_equipement_public,0.167,6.77,662.44,0.0833,0.833,0.8314833501513622,0.19235364396654717,0.5969450863449388,1.0,0.5861577977026879
score_precarite,score_lda_axe2,0.139,13.75,469.46,0.0667,0.861,0.8597376387487387,0.40083632019115883,0.4119051500129446,0.6965265082266909,0.5850740099281196
score_urbanite,score_peripherie_metropole,0.839,29.52,911.4,0.0526,0.161,0.15338042381432895,0.871863799283154,0.8356617541302702,0.4387568555758684,0.5841123360558368
score_urbanite,score_pca_pc3_équipements_démographie,0.13,15.07,789.82,0.037,0.87,0.8688193743693239,0.4402628434886499,0.7190841012167878,0.15356489945155388,0.5815893626929153
score_urbanite,score_equipement_public,0.286,13.61,886.55,0.0526,0.714,0.7114026236125126,0.39665471923536433,0.8118341947051999,0.4387568555758684,0.5804303060935515
score_pca_pc8_équipements_logement,score_peripherie_metropole,0.246,16.87,555.67,0.0588,0.754,0.751765893037336,0.49402628434886503,0.4945680835354921,0.5521023765996343,0.580167940630347
score_exploitation,score_pca_pc1_logement_confort,0.322,21.87,721.75,0.0357,0.678,0.6750756811301716,0.6433691756272402,0.6538148066467865,0.1297989031078611,0.577934712604122
score_ruralite,score_pca_pc2_composition_diplômes,0.29,22.26,622.36,0.037,0.71,0.7073662966700303,0.6550179211469535,0.5585141575016062,0.15356489945155388,0.5762037278204971
score_cap_eco,score_pca_pc1_logement_confort,0.341,22.3,732.71,0.0345,0.659,0.6559031281533805,0.6562126642771804,0.664323863037079,0.10786106032906768,0.5754893025998032
score_precarite,score_pca_pc8_équipements_logement,0.147,13.51,588.22,0.0556,0.853,0.851664984863774,0.3936678614097968,0.525778830388049,0.49360146252285186,0.5724792324085987
score_domination,score_confort_residentiel,0.189,18.05,697.26,0.0345,0.811,0.8092835519677094,0.5292712066905615,0.630332435205339,0.10786106032906768,0.5702756340224373
score_confort_residentiel,score_pca_pc3_équipements_démographie,0.138,13.61,767.48,0.04,0.862,0.8607467204843592,0.39665471923536433,0.6976632691219762,0.2084095063985375,0.5678472476618612
score_ruralite,score_equipement_public,0.134,9.62,636.46,0.0625,0.866,0.8647830474268415,0.27747909199522097,0.5720340201934971,0.6197440585009141,0.5639210092402164
score_precarite,score_pca_pc7_logement_csp,0.061,13.8,525.61,0.0455,0.939,0.9384460141271442,0.40232974910394265,0.46574488690299265,0.3089579524680073,0.5618418866753229
score_precarite,score_pca_pc6_équipements_diplômes,0.156,14.8,549.9,0.0476,0.844,0.8425832492431886,0.43219832735961766,0.4890354872424275,0.3473491773308959,0.5539538633969426
score_cap_cult,score_precarite,0.596,22.2,704.11,0.0556,0.404,0.3985872855701312,0.6532258064516129,0.6369005954492718,0.49360146252285186,0.549625556397386
score_pca_pc1_logement_confort,score_pca_pc6_équipements_diplômes,0.246,18.39,688.73,0.0323,0.754,0.751765893037336,0.5394265232974911,0.6221533977045001,0.06764168190127974,0.5489059828914146
score_lda_axe2,score_peripherie_metropole,0.398,17.11,436.9,0.0714,0.602,0.5983854692230071,0.5011947431302269,0.3806848146052872,0.7824497257769654,0.5484382226500837
score_rentier,score_ruralite,0.296,14.63,519.82,0.0625,0.704,0.7013118062563067,0.4271206690561529,0.46019311349972686,0.6197440585009141,0.5448860075216281
score_pca_pc2_composition_diplômes,score_pca_pc4_démographie_chauffage,0.036,14.55,546.79,0.0312,0.964,0.9636730575176589,0.4247311827956989,0.486053446606131,0.047531992687385706,0.5420983194581263
score_exploitation,score_urbanite,0.308,17.58,632.99,0.0417,0.692,0.6892028254288597,0.5152329749103942,0.5687067915735778,0.23948811700182818,0.5367569647122856
score_pca_pc2_composition_diplômes,score_lda_axe1,0.01,13.77,392.8,0.04,0.99,0.9899091826437941,0.40143369175627236,0.3383992866115006,0.2084095063985375,0.5364158301899143
score_cap_eco,score_urbanite,0.321,18.01,643.95,0.04,0.679,0.6760847628657922,0.5280764635603346,0.5792158479638705,0.2084095063985375,0.5347567866584095
score_ruralite,score_pca_pc3_équipements_démographie,0.035,11.08,539.72,0.0417,0.965,0.9646821392532795,0.32108721624850656,0.47927433814998427,0.23948811700182818,0.5335632526432321
score_confort_residentiel,score_pca_pc5_équipements_csp,0.081,11.7,598.85,0.04,0.919,0.9182643794147326,0.33960573476702505,0.5359714644600206,0.2084095063985375,0.5327970398446633
score_pca_pc6_équipements_diplômes,score_peripherie_metropole,0.348,18.16,517.34,0.05,0.652,0.6488395560040363,0.5325567502986858,0.4578151518347701,0.3912248628884827,0.5312934892059773
score_pca_pc1_logement_confort,score_pca_pc8_équipements_logement,0.317,17.1,727.05,0.0357,0.683,0.6801210898082746,0.5008960573476703,0.6588967408501214,0.1297989031078611,0.5305991306503705
score_urbanite,score_pca_pc5_équipements_csp,0.126,13.17,621.18,0.037,0.874,0.8728557013118062,0.38351254480286734,0.5573827079997316,0.15356489945155388,0.5305973775922249
score_pca_pc2_composition_diplômes,score_pca_pc8_équipements_logement,0.067,13.61,516.72,0.0357,0.933,0.9323915237134208,0.39665471923536433,0.45722066141853096,0.1297989031078611,0.5294605765962891
score_precarite,score_pca_pc2_composition_diplômes,0.786,26.95,822.38,0.0417,0.214,0.20686175580221997,0.7951015531660692,0.7503044366244451,0.23948811700182818,0.5263281752239535
