pa_id,député,groupe_politique,anciennete,code_pcs,libelle_pcs
PA1008,Alain David,SOC,7.2682,38,Ingénieur et cadre technique d'entreprise
PA1567,Jérôme Guedj,SOC,9.3361,33,Cadre de la fonction publique
PA1592,David Habib,LIOT,22.2078,37,Cadre administratif et commercial d'entreprise
PA1630,Michel Herbillon,DR,26.0608,37,Cadre administratif et commercial d'entreprise
PA1654,François Hollande,SOC,24.8898,33,Cadre de la fonction publique
PA227089,Valérie Létard,LIOT,31.6485,0,Non classé
PA266793,Jean-Yves Bony,DR,10.4668,12,Agriculteur sur moyenne exploitation
PA266797,Philippe Gosselin,DR,19.0557,34,"Professeur, profession scientifique"
PA266808,Vincent Rolland,DR,11.9808,33,Cadre de la fonction publique
PA267042,Yannick Favennec-Bécot,LIOT,21.9986,33,Cadre de la fonction publique
PA267200,Sébastien Huyghe,EPR,20.7702,31,Profession libérale
PA267285,Laurent Wauquiez,DR,14.3461,0,Non classé
PA267318,Jean-Carles Grelier,DEM,6.9815,31,Profession libérale
PA267763,Jean-Pierre Bataille,LIOT,0.0,31,Profession libérale
PA267780,Agnès Firmin Le Bodo,HOR,9.0086,31,Profession libérale
PA267794,Michèle Tabarot,DR,24.5602,23,Chef d'entreprise de 10 salariés ou plus
PA2940,Dominique Voynet,ECOS,6.9952,31,Profession libérale
PA2952,Jean-Luc Warsmann,LIOT,25.3399,37,Cadre administratif et commercial d'entreprise
PA309643,Véronique Besse,NI,14.3737,35,"Profession de l'information, des arts et des spectacles"
PA330008,Xavier Breton,DR,16.9802,37,Cadre administratif et commercial d'entreprise
PA330240,Éric Ciotti,UDDPLR,16.9802,0,Non classé
PA330909,Vincent Descoeur,DR,11.9808,34,"Professeur, profession scientifique"
PA331582,Philippe Vigier,DEM,20.2834,31,Profession libérale
PA331973,Pascale Got,SOC,9.9986,35,"Profession de l'information, des arts et des spectacles"
PA332228,Thierry Benoit,HOR,17.3547,37,Cadre administratif et commercial d'entreprise
PA332523,Marie-Christine Dalloz,DR,16.9802,0,Non classé
PA333285,Guillaume Garot,SOC,21.2999,33,Cadre de la fonction publique
PA335054,Marietta Karamanli,SOC,16.9802,34,"Professeur, profession scientifique"
PA335612,Jean-Paul Lecoq,GDR,12.564,43,Profession intermédiaire de la santé et du travail social
PA335758,Franck Riester,EPR,19.4396,23,Chef d'entreprise de 10 salariés ou plus
PA335999,Delphine Batho,ECOS,18.7107,33,Cadre de la fonction publique
PA340343,Hervé Saulignac,SOC,6.9815,33,Cadre de la fonction publique
PA341981,Marie Récalde,SOC,4.9993,37,Cadre administratif et commercial d'entreprise
PA342196,Claudia Rouaux,SOC,6.9815,33,Cadre de la fonction publique
PA342240,Jean-Luc Bourgeaux,DR,6.9815,12,Agriculteur sur moyenne exploitation
PA342384,Élisa Martin,LFI-NFP,1.974,34,"Professeur, profession scientifique"
PA342415,Marie-Noëlle Battistel,SOC,16.0186,37,Cadre administratif et commercial d'entreprise
PA345722,Constance Le Grip,EPR,8.4616,33,Cadre de la fonction publique
PA346782,Philippe Juvin,DR,1.974,34,"Professeur, profession scientifique"
PA368,Michel Barnier,DR,3.0185,0,Non classé
PA408578,Jean-Didier Berger,DR,0.1889,37,Cadre administratif et commercial d'entreprise
PA569,Philippe Bonnecarrère,NI,9.6865,31,Profession libérale
PA588884,Clémentine Autain,ECOS,6.9815,35,"Profession de l'information, des arts et des spectacles"
PA605694,Olivier Falorni,DEM,11.9808,34,"Professeur, profession scientifique"
PA605745,Nicolas Sansu,GDR,6.9733,33,Cadre de la fonction publique
PA605782,Laurent Marcangeli,HOR,7.5573,31,Profession libérale
PA606507,Florent Boudié,EPR,11.9808,33,Cadre de la fonction publique
PA606545,Jean-Louis Roumégas,ECOS,4.9993,43,Profession intermédiaire de la santé et du travail social
PA606573,Fanny Dombre Coste,SOC,5.4921,21,Artisan
PA606793,Laurent Baumel,SOC,4.9993,37,Cadre administratif et commercial d'entreprise
PA607090,Jean-Pierre Vigier,DR,11.9808,33,Cadre de la fonction publique
PA607193,Sophie Errante,NI,12.1509,23,Chef d'entreprise de 10 salariés ou plus
PA607395,Stéphane Travert,EPR,14.1418,37,Cadre administratif et commercial d'entreprise
PA607553,Dominique Potier,SOC,12.4819,12,Agriculteur sur moyenne exploitation
PA607619,Paul Molac,LIOT,12.0,34,"Professeur, profession scientifique"
PA608016,Véronique Louwagie,DR,12.5582,31,Profession libérale
PA608172,Christine Pirès Beaune,SOC,12.9692,33,Cadre de la fonction publique
PA608264,Colette Capdevielle,SOC,4.9993,31,Profession libérale
PA608416,Patrick Hetzel,DR,11.9808,34,"Professeur, profession scientifique"
PA608826,Virginie Duby-Muller,DR,12.2765,37,Cadre administratif et commercial d'entreprise
PA609332,Olivier Faure,SOC,12.3726,37,Cadre administratif et commercial d'entreprise
PA610002,Eva Sas,ECOS,8.1585,37,Cadre administratif et commercial d'entreprise
PA610654,Jean-Philippe Nilor,LFI-NFP,11.9808,33,Cadre de la fonction publique
PA610968,Pouria Amirshahi,ECOS,4.9993,33,Cadre de la fonction publique
PA642695,Éric Bothorel,EPR,12.4764,37,Cadre administratif et commercial d'entreprise
PA642725,Eric Liégeon,DR,0.0,12,Agriculteur sur moyenne exploitation
PA642764,Joël Aviragnet,SOC,9.807,37,Cadre administratif et commercial d'entreprise
PA642847,Thibault Bazin,DR,6.9815,37,Cadre administratif et commercial d'entreprise
PA642868,Paul Christophe,HOR,7.989,33,Cadre de la fonction publique
PA642935,Olivier Becht,EPR,9.6958,33,Cadre de la fonction publique
PA642988,Hervé de Lépinau,RN,1.974,31,Profession libérale
PA643089,Jean-Louis Thiériot,DR,7.5548,31,Profession libérale
PA643104,Christelle Minard,DR,0.0,12,Agriculteur sur moyenne exploitation
PA643143,Christian Baptiste,SOC,1.974,33,Cadre de la fonction publique
PA643157,Philippe Naillet,SOC,8.9008,37,Cadre administratif et commercial d'entreprise
PA643175,Stella Dupont,NI,6.9815,37,Cadre administratif et commercial d'entreprise
PA643184,Brigitte Klinkert,EPR,7.5001,74,Ancien cadre
PA643192,Chantal Jourdan,SOC,6.9815,33,Cadre de la fonction publique
PA677483,Stéphane Mazars,EPR,10.7491,31,Profession libérale
PA687214,Sylvain Berrios,HOR,4.5092,0,Non classé
PA695512,Guillaume Lepers,DR,0.0,37,Cadre administratif et commercial d'entreprise
PA712014,Vincent Ledoux,EPR,9.2266,34,"Professeur, profession scientifique"
PA712015,Julien Dive,DR,9.3251,38,Ingénieur et cadre technique d'entreprise
PA717161,Élisabeth Borne,EPR,13.655,38,Ingénieur et cadre technique d'entreprise
PA717379,Sylvain Maillard,EPR,7.2627,23,Chef d'entreprise de 10 salariés ou plus
PA718674,Olga Givernet,EPR,6.9815,38,Ingénieur et cadre technique d'entreprise
PA718784,Éric Pauget,DR,6.9815,37,Cadre administratif et commercial d'entreprise
PA718838,Fabrice Brun,DR,6.9815,22,Commerçant et assimilé
PA718850,Pierre Cordier,DR,6.9815,33,Cadre de la fonction publique
PA718884,Valérie Bazin-Malgras,DR,6.9815,37,Cadre administratif et commercial d'entreprise
PA719024,Christophe Blanchet,DEM,6.9815,22,Commerçant et assimilé
PA719032,Bertrand Bouyx,HOR,6.9815,43,Profession intermédiaire de la santé et du travail social
PA719052,Loïc Kervran,HOR,7.5647,37,Cadre administratif et commercial d'entreprise
PA719080,Sandra Marsaud,EPR,6.9815,37,Cadre administratif et commercial d'entreprise
PA719118,François Cormier-Bouligeon,EPR,7.4771,33,Cadre de la fonction publique
PA719138,Michel Castellani,LIOT,6.9815,34,"Professeur, profession scientifique"
PA719218,Hervé Berville,EPR,7.7969,37,Cadre administratif et commercial d'entreprise
PA719272,Frédérique Meunier,DR,6.9815,31,Profession libérale
PA719286,Paul-André Colombani,LIOT,6.9815,31,Profession libérale
PA719338,Graziella Melchior,EPR,6.9815,34,"Professeur, profession scientifique"
PA719372,Guillaume Kasbarian,EPR,7.948,37,Cadre administratif et commercial d'entreprise
PA719388,Annaïg Le Meur,EPR,7.9847,21,Artisan
PA719404,Didier Le Gac,EPR,6.9815,43,Profession intermédiaire de la santé et du travail social
PA719412,Sandrine Le Feur,EPR,6.9815,12,Agriculteur sur moyenne exploitation
PA719436,Nicolas Meizonnet,RN,6.9815,38,Ingénieur et cadre technique d'entreprise
PA719472,Jean-René Cazeneuve,EPR,7.7262,38,Ingénieur et cadre technique d'entreprise
PA719512,Corinne Vignon,EPR,6.9815,37,Cadre administratif et commercial d'entreprise
PA719528,Jean-François Portarrieu,HOR,6.9815,35,"Profession de l'information, des arts et des spectacles"
PA719550,Liliana Tanguy,EPR,6.9815,33,Cadre de la fonction publique
PA719558,Erwan Balanant,DEM,8.0496,35,"Profession de l'information, des arts et des spectacles"
PA719578,Loïc Prud'homme,LFI-NFP,6.9815,43,Profession intermédiaire de la santé et du travail social
PA719632,Sophie Panonacle,EPR,6.9815,0,Non classé
PA719640,Sophie Mette,DEM,6.9815,0,Non classé
PA719736,Camille Galliard-Minier,EPR,5.0075,0,Non classé
PA719756,Christine Le Nabour,EPR,7.614,43,Profession intermédiaire de la santé et du travail social
PA719778,François Jolivet,HOR,7.5647,37,Cadre administratif et commercial d'entreprise
PA719798,Daniel Labaronne,EPR,8.0293,33,Cadre de la fonction publique
PA719822,Sabine Thillaye,DEM,6.9815,22,Commerçant et assimilé
PA719890,Danielle Brulebois,EPR,6.9815,74,Ancien cadre
PA719914,Geneviève Darrieussecq,DEM,14.6259,31,Profession libérale
PA719922,Lionel Causse,EPR,7.4771,37,Cadre administratif et commercial d'entreprise
PA719930,Boris Vallaud,SOC,7.5647,33,Cadre de la fonction publique
PA719938,Marc Fesneau,DEM,9.954,33,Cadre de la fonction publique
PA719968,Sylvie Bonnet,DR,0.5229,33,Cadre de la fonction publique
PA720022,Michel Lauzzana,EPR,6.9815,31,Profession libérale
PA720038,Sandrine Josso,DEM,7.1513,31,Profession libérale
PA720092,Richard Ramos,DEM,6.9815,37,Cadre administratif et commercial d'entreprise
PA720100,Aurélien Pradié,NI,7.4798,37,Cadre administratif et commercial d'entreprise
PA720138,Laetitia Saint-Paul,HOR,6.9815,33,Cadre de la fonction publique
PA720146,Denis Masséglia,EPR,6.9815,38,Ingénieur et cadre technique d'entreprise
PA720154,Nicole Dubré-Chirat,EPR,6.9815,74,Ancien cadre
PA720162,Philippe Bolo,DEM,6.9815,38,Ingénieur et cadre technique d'entreprise
PA720190,Bertrand Sorre,EPR,6.9815,52,Employé civil et agent de service de la fonction publique
PA720230,Lise Magnier,HOR,6.9815,33,Cadre de la fonction publique
PA720256,Géraldine Bannier,DEM,7.563,34,"Professeur, profession scientifique"
PA720334,Jimmy Pahun,DEM,6.9815,43,Profession intermédiaire de la santé et du travail social
PA720342,Nicole Le Peih,EPR,6.9815,12,Agriculteur sur moyenne exploitation
PA720354,Jean-Michel Jacques,EPR,8.4739,43,Profession intermédiaire de la santé et du travail social
PA720362,Belkhir Belhaddad,SOC,7.2635,23,Chef d'entreprise de 10 salariés ou plus
PA720370,Ludovic Mendes,EPR,7.3073,37,Cadre administratif et commercial d'entreprise
PA720386,Fabien Di Filippo,DR,6.9815,74,Ancien cadre
PA720430,Ugo Bernalicis,LFI-NFP,6.9815,33,Cadre de la fonction publique
PA720446,Brigitte Liso,EPR,6.9815,22,Commerçant et assimilé
PA720468,Sébastien Chenu,RN,6.9815,37,Cadre administratif et commercial d'entreprise
PA720552,Isabelle Rauch,HOR,8.3762,31,Profession libérale
PA720560,Perrine Goulet,DEM,7.3566,37,Cadre administratif et commercial d'entreprise
PA720614,Marine Le Pen,RN,7.5655,31,Profession libérale
PA720644,Jérôme Nury,DR,6.9815,33,Cadre de la fonction publique
PA720668,Emmanuel Blairy,RN,6.9815,43,Profession intermédiaire de la santé et du travail social
PA720720,Josy Poueyto,DEM,6.9815,74,Ancien cadre
PA720728,Jean-Paul Mattei,DEM,7.5655,31,Profession libérale
PA720822,Bruno Bilde,RN,6.9815,31,Profession libérale
PA720838,Soumya Bourouaha,GDR,1.974,43,Profession intermédiaire de la santé et du travail social
PA720846,Bastien Lachaud,LFI-NFP,6.9815,34,"Professeur, profession scientifique"
PA720892,Mathilde Panot,LFI-NFP,7.7725,37,Cadre administratif et commercial d'entreprise
PA720952,Aurélien Taché,LFI-NFP,7.4278,33,Cadre de la fonction publique
