"NATURE_ZONAGE","COM_COMER","TNCC","NCC","NCCENR","LIBELLE","DATE_DEBUT","DATE_FIN"
"COM","91101","0","AIN BESSEM (COMMUNE MIXTE)","Aïn-Bessem (commune mixte)","Aïn-Bessem (commune mixte)","1943-01-01","1962-07-05"
"COM","91102","0","AUMALE (COMMUNE MIXTE)","Aumale (commune mixte)","Aumale (commune mixte)","1943-01-01","1962-07-05"
"COM","91103","0","BOU SAADA (COMMUNE MIXTE)","Bou-Saada (commune mixte)","Bou-Saada (commune mixte)","1943-01-01","1962-07-05"
"COM","91104","0","CHERCHELL (COMMUNE MIXTE)","Cherchell (commune mixte)","Cherchell (commune mixte)","1943-01-01","1962-07-05"
"COM","91105","0","MAILLOT (COMMUNE MIXTE)","Maillot (commune mixte)","Maillot (commune mixte)","1943-01-01","1962-07-05"
"COM","91106","0","PALESTRO (COMMUNE MIXTE)","Palestro (commune mixte)","Palestro (commune mixte)","1943-01-01","1962-07-05"
"COM","91107","0","SIDI AISSA (COMMUNE MIXTE)","Sidi-Aïssa (commune mixte)","Sidi-Aïssa (commune mixte)","1943-01-01","1962-07-05"
"COM","91108","0","TABLAT (COMMUNE MIXTE)","Tablat (commune mixte)","Tablat (commune mixte)","1943-01-01","1962-07-05"
"COM","91110","1","ALGER","Alger","Alger","1943-01-01","1962-07-05"
"COM","91111","0","AIN BESSEM","Aïn-Bessem","Aïn-Bessem","1943-01-01","1962-07-05"
"COM","91112","0","AIN TAYA","Aïn-Taya","Aïn-Taya","1943-01-01","1962-07-05"
"COM","91113","0","ALMA","Alma","Alma","1943-01-01","1962-07-05"
"COM","91114","0","AMEUR EL AIN","Ameur-El-Aïn","Ameur-El-Aïn","1943-01-01","1962-07-05"
"COM","91115","0","L ARBA","L’Arba","L’Arba","1943-01-01","1962-07-05"
"COM","91116","0","ATTABTA","Attabta","Attabta","1943-01-01","1962-07-05"
"COM","91117","0","AUMALE","Aumale","Aumale","1943-01-01","1962-07-05"
"COM","91118","0","BABA HASSEN","Baba-Hassen","Baba-Hassen","1943-01-01","1962-07-05"
"COM","91119","0","BENI MERED","Beni-Méred","Beni-Méred","1943-01-01","1962-07-05"
"COM","91120","0","BERARD","Bérard","Bérard","1943-01-01","1962-07-05"
"COM","91121","0","BIRKADEM","Birkadem","Birkadem","1943-01-01","1962-07-05"
"COM","91122","0","BIRMANDREIS","Birmandreis","Birmandreis","1943-01-01","1962-07-05"
"COM","91123","0","BIR RABALOU","Bir-Rabalou","Bir-Rabalou","1943-01-01","1962-07-05"
"COM","91124","0","BIRTOUTA","Birtouta","Birtouta","1943-01-01","1962-07-05"
"COM","91125","0","BLIDA","Blida","Blida","1943-01-01","1962-07-05"
"COM","91126","0","BOUFARIK","Boufarik","Boufarik","1943-01-01","1962-07-05"
"COM","91127","0","BOUINAN","Bouinan","Bouinan","1943-01-01","1962-07-05"
"COM","91128","0","BOUIRA","Bouira","Bouira","1943-01-01","1962-07-05"
"COM","91129","0","BOURKIKA","Bourkika","Bourkika","1943-01-01","1962-07-05"
"COM","91130","0","BOUZAREA","Bouzaréa","Bouzaréa","1943-01-01","1962-07-05"
"COM","91131","0","CAP MATIFOU","Cap-Matifou","Cap-Matifou","1943-01-01","1962-07-05"
"COM","91132","0","CASTIGLIONE","Castiglione","Castiglione","1943-01-01","1962-07-05"
"COM","91133","0","CHEBLI","Chébli","Chébli","1943-01-01","1962-07-05"
"COM","91134","0","CHERAGAS","Chéragas","Chéragas","1943-01-01","1962-07-05"
