"COMER","TNCC","NCC","NCCENR","LIBELLE","DATE_DEBUT","DATE_FIN"
"90bis","3","SARRE","Sarre","Sarre","1947-12-17","1957-01-01"
"95","2","MAROC","Maroc","Maroc","1943-01-01","1956-03-02"
"96","3","TUNISIE","Tunisie","Tunisie","1943-01-01","1956-03-20"
"975","0","SAINT PIERRE ET MIQUELON","Saint-Pierre-et-Miquelon","Saint-Pierre-et-Miquelon","1985-06-15",""
"976","0","MAYOTTE","Mayotte","Mayotte","2007-02-23","2011-03-31"
"977","0","SAINT BARTHELEMY","Saint-Barthélemy","Saint-Barthélemy","2007-02-23",""
"978","0","SAINT MARTIN","Saint-Martin","Saint-Martin","2007-02-23",""
"981","5","ILE DES FAISANS","Île des Faisans","Île des Faisans","1943-01-01",""
"98201","3","MAURITANIE","Mauritanie","Mauritanie","1943-01-01","1960-11-28"
"98202","0","SENEGAL ET CIRCONSCRIPTION DE DAKAR","Sénégal et circonscription de Dakar","Sénégal et circonscription de Dakar","1943-01-01","1960-06-22"
"98203","3","GUINEE FRANCAISE","Guinée française","Guinée française","1943-01-01","1958-10-02"
"98204","0","COTE D IVOIRE","Côte d’Ivoire","Côte d’Ivoire","1943-01-01","1960-08-07"
"98205","2","DAHOMEY","Dahomey","Dahomey","1943-01-01","1960-08-01"
"98206","2","SOUDAN FRANCAIS","Soudan français","Soudan français","1943-01-01","1960-06-22"
"98207","2","NIGER","Niger","Niger","1943-01-01","1960-08-03"
"98208","2","TOGO","Togo","Togo","1943-01-01","1960-04-27"
"98209","3","HAUTE VOLTA","Haute-Volta","Haute-Volta","1947-09-06","1960-08-05"
"98301","2","GABON","Gabon","Gabon","1943-01-01","1960-08-17"
"98302","2","MOYEN CONGO","Moyen Congo","Moyen Congo","1943-01-01","1960-08-15"
"98303","5","OUBANGUI CHARI","Oubangui-Chari","Oubangui-Chari","1943-01-01","1960-08-13"
"98304","2","TCHAD","Tchad","Tchad","1943-01-01","1960-08-11"
"98305","2","CAMEROUN","Cameroun","Cameroun","1943-01-01","1961-10-01"
"98306","2","TERRITOIRE DU FEZZAN","Territoire du Fezzan","Territoire du Fezzan","1943-01-01","1951-12-24"
"984","4","TERRES AUSTRALES ET ANTARCTIQUES FRANCAISES","Terres australes et antarctiques françaises","Terres australes et antarctiques françaises","2007-02-23",""
"98401","0","MADAGASCAR","Madagascar","Madagascar","1943-01-01","1960-06-26"
"98402","4","COMORES","Comores","Comores","1943-01-01","1975-07-06"
"98402","0","MAYOTTE","Mayotte","Mayotte","1975-07-06","1977-05-20"
"98403","4","ILES DE L OCEAN INDIEN","Îles de l’océan Indien","Îles de l’océan Indien","1943-01-01","1960-06-26"
"98403","4","ILES EPARSES DE L OCEAN INDIEN","Îles Éparses de l’océan Indien","Îles Éparses de l’océan Indien","1960-06-26","2007-02-23"
"98404","4","ILES DE L OCEAN AUSTRAL","Îles de l’océan austral","Îles de l’océan austral","1943-01-01","1955-08-10"
"98404","4","TERRES AUSTRALES ET ANTARCTIQUES FRANCAISES","Terres australes et antarctiques françaises","Terres australes et antarctiques françaises","1955-08-10","2007-02-23"
"98405","0","LA REUNION","La Réunion","La Réunion","1943-01-01","1946-03-21"
"98406","3","COTE FRANCAISE DES SOMALIS","Côte française des Somalis","Côte française des Somalis","1943-01-01","1967-07-03"
"98406","0","TERRITOIRE FRANCAIS DES AFARS ET DES ISSAS","Territoire français des Afars et des Issas","Territoire français des Afars et des Issas","1967-07-03","1977-06-27"
"985","0","MAYOTTE","Mayotte","Mayotte","1977-05-20","2007-02-23"
"98501","4","ETABLISSEMENTS FRANCAIS DE L INDE","Établissements français de l’Inde","Établissements français de l’Inde","1943-01-01","1954-11-01"
"98502","5","ANNAM","Annam","Annam","1943-01-01","1954-07-20"
"98503","2","CAMBODGE","Cambodge","Cambodge","1943-01-01","1953-11-09"
"98504","3","COCHINCHINE","Cochinchine","Cochinchine","1943-01-01","1954-07-20"
"98505","2","LAOS","Laos","Laos","1943-01-01","1953-10-22"
"98506","2","TONKIN","Tonkin","Tonkin","1943-01-01","1954-07-20"
"98507","0","KOUANG TCHEOU WAN","Kouang-Tchéou-Wan","Kouang-Tchéou-Wan","1943-01-01","1946-02-28"
"98508","0","SHANGHAI","Shanghaï","Shanghaï","1943-01-01","1946-02-28"
"986","0","WALLIS ET FUTUNA","Wallis-et-Futuna","Wallis-et-Futuna","1985-01-01",""
"98601","4","ILES DU VENT","Îles du Vent","Îles du Vent","1943-01-01","1972-05-21"
"98602","4","ILES SOUS LE VENT","Îles Sous-le-Vent","Îles Sous-le-Vent","1943-01-01","1972-05-21"
"98603","5","ARCHIPEL DES GAMBIER","Archipel des Gambier","Archipel des Gambier","1943-01-01","1972-05-21"
"98604","4","ILES AUSTRALES","Îles Australes","Îles Australes","1943-01-01","1972-05-21"
"98605","5","ARCHIPEL TUAMOTU","Archipel Tuamotu","Archipel Tuamotu","1943-01-01","1972-05-21"
"98606","5","ARCHIPEL DES MARQUISES","Archipel des Marquises","Archipel des Marquises","1943-01-01","1972-05-21"
"98607","3","NOUVELLE CALEDONIE","Nouvelle-Calédonie","Nouvelle-Calédonie","1943-01-01","1969-03-30"
"98608","4","NOUVELLES HEBRIDES","Nouvelles-Hébrides","Nouvelles-Hébrides","1943-01-01","1980-07-30"
"98609","0","WALLIS ET FUTUNA","Wallis-et-Futuna","Wallis-et-Futuna","1961-07-31","1985-01-01"
"987","0","POLYNESIE FRANCAISE","Polynésie française","Polynésie française","1972-05-21",""
"98701","0","SAINT PIERRE ET MIQUELON","Saint-Pierre-et-Miquelon","Saint-Pierre-et-Miquelon","1943-01-01","1976-07-21"
"98702","3","GUADELOUPE","Guadeloupe","Guadeloupe","1943-01-01","1946-03-21"
"98703","3","MARTINIQUE","Martinique","Martinique","1943-01-01","1946-03-21"
"98704","0","GUYANE ET TERRITOIRE DE L ININI","Guyane et territoire de l’Inini","Guyane et territoire de l’Inini","1943-01-01","1946-03-21"
"988","0","NOUVELLE CALEDONIE","Nouvelle-Calédonie","Nouvelle-Calédonie","1969-03-30",""
"989","0","CLIPPERTON","Clipperton","Clipperton","2007-02-23","2022-02-21"
"989","0","LA PASSION CLIPPERTON","La Passion-Clipperton","La Passion-Clipperton","2022-02-21",""
