IRIS;DISP_TP6021;DISP_INCERT21;DISP_Q121;DISP_MED21;DISP_Q321;DISP_EQ21;DISP_D121;DISP_D221;DISP_D321;DISP_D421;DISP_D621;DISP_D721;DISP_D821;DISP_D921;DISP_RD21;DISP_S80S2021;DISP_GI21;DISP_PACT21;DISP_PTSA21;DISP_PCHO21;DISP_PBEN21;DISP_PPEN21;DISP_PPAT21;DISP_PPSOC21;DISP_PPFAM21;DISP_PPMINI21;DISP_PPLOGT21;DISP_PIMPOT21;DISP_NOTE21
010040101;19,0;2;14990;20350;26140;0,55;11620;14280;16080;18450;22310;24760;28070;32060;2,8;3,4;0,237;70,8;64,2;3,0;3,6;26,9;6,2;8,6;3,3;3,8;1,5;-12,5;0
010040102;25,0;1;13880;18570;24760;0,59;10580;12890;14660;16530;20420;23070;26510;31130;2,9;3,5;0,246;70,6;64,0;4,2;2,4;24,9;5,8;11,1;3,7;5,1;2,3;-12,4;0
010040201;19,0;1;15190;20700;27180;0,58;11400;14060;16320;18700;22840;25470;28930;34450;3,0;3,8;0,262;72,5;65,0;3,5;4,0;27,2;6,4;7,7;2,8;3,3;1,6;-13,8;0
010040202;8,0;1;19600;25230;33170;0,54;14810;18310;20780;23170;27980;31280;35320;41230;2,8;4,1;0,295;73,3;67,3;2,4;3,6;23,8;16,2;4,0;1,8;1,5;0,7;-17,3;0
010330102;24,0;1;14050;20420;29640;0,76;9410;12570;15130;17650;23540;27020;32600;42390;4,5;5,7;0,328;78,9;72,1;4,9;1,9;23,7;5,2;5,3;1,5;2,5;1,3;-13,1;0
010330103;17,0;2;16270;24060;35760;0,81;10700;14520;17900;20820;27730;32740;39720;49310;4,6;5,9;0,336;82,7;75,9;4,0;2,8;21,8;5,8;3,9;1,5;1,5;0,9;-14,2;0
010330201;15,0;1;17940;25980;36690;0,72;11760;16220;20010;22930;28830;33510;40250;53670;4,6;5,5;0,325;79,2;73,0;3,8;2,4;26,4;6,0;3,2;1,2;1,3;0,7;-14,8;0
010330202;26,0;1;13750;19630;28050;0,73;10290;12770;14690;17060;22360;25730;31030;40430;3,9;4,6;0,303;70,2;64,7;4,3;1,2;30,4;3,7;8,0;2,6;3,7;1,7;-12,3;0
010330301;19,0;2;15590;22360;31880;0,73;11260;14220;17040;19960;25550;29270;35150;43590;3,9;4,3;0,287;83,8;78,4;4,7;0,7;19,1;3,0;5,8;2,8;1,9;1,1;-11,7;0
010330401;8,0;1;20830;28590;39750;0,66;15290;19080;22400;25330;32120;37320;43780;54750;3,6;4,7;0,302;86,2;79,8;3,5;2,9;19,2;7,3;2,6;1,3;0,8;0,5;-15,3;0
010340101;9,0;1;18550;22950;29260;0,47;14270;17550;19550;21370;24890;27510;31130;36950;2,6;3,4;0,241;68,3;60,2;2,7;5,4;33,4;9,0;4,8;1,5;2,4;0,9;-15,5;0
010340102;17,0;1;15690;20930;27660;0,57;11780;14360;16650;18890;23220;26130;29860;36550;3,1;3,6;0,253;62,3;55,3;3,2;3,8;36,5;7,3;7,6;2,2;3,8;1,6;-13,7;0
010340103;31,0;2;12750;18170;25270;0,69;10030;12110;13750;16160;20880;23500;27460;34540;3,4;4,6;0,303;62,8;56,9;3,4;2,5;33,4;8,0;9,2;3,9;3,6;1,7;-13,4;0
010530101;22,0;1;14740;20960;29130;0,69;10930;13560;16060;18340;23350;27190;31610;39090;3,6;5,5;0,336;70,9;62,2;3,5;5,2;25,9;11,9;7,7;1,5;4,1;2,1;-16,4;0
010530102;19,0;1;15450;21540;28940;0,63;10710;14110;16810;19270;24180;27420;30990;37730;3,5;4,3;0,284;61,6;55,7;2,6;3,3;40,1;7,2;6,6;1,3;3,7;1,6;-15,5;0
010530103;19,0;2;15680;23190;32620;0,73;11110;14260;16950;20070;26220;29930;35040;46120;4,2;5,9;0,356;63,8;55,8;2,8;5,2;33,2;15,8;5,5;1,3;2,8;1,4;-18,3;0
010530201;17,0;1;15880;20970;27800;0,57;11300;14460;16700;19040;23730;26360;29510;36700;3,2;4,3;0,285;67,9;60,2;3,3;4,4;34,3;7,1;6,1;1,6;3,0;1,5;-15,4;0
010530202;33,0;2;12330;17410;23700;0,65;9250;11320;13270;15120;19740;22320;25520;31780;3,4;4,4;0,293;68,5;59,1;4,7;4,7;23,7;6,5;13,4;4,1;6,3;3,0;-12,1;0
010530203;20,0;1;15810;21400;28020;0,57;11180;13960;17210;19350;23500;26450;29730;37110;3,3;4,1;0,271;69,8;64,5;2,8;2,5;30,8;6,1;7,5;2,2;3,7;1,6;-14,2;0
