CODE_IRIS,inscrits,votants,abstentions,blancs,nuls,exprimes,HOLLANDE,SARKOZY,score_HOLLANDE,score_SARKOZY,pct_abstention,score_blanc,score_nul
010010000,592,506,86,0.0,31,475,195,280,41.05,58.95,14.53,0.0,6.53
010020000,215,175,40,0.0,18,157,82,75,52.23,47.77,18.6,0.0,11.46
010040101,2061,1609,452,0.0,134,1475,775,700,52.54,47.46,21.93,0.0,9.08
010040102,1055,775,280,0.0,55,720,403,317,55.97,44.03,26.54,0.0,7.64
010040201,1036,806,230,0.0,57,749,366,383,48.87,51.13,22.2,0.0,7.61
010040202,4056,3257,799,0.0,232,3025,1465,1560,48.43,51.57,19.7,0.0,7.67
010050000,1152,949,203,0.0,58,891,340,551,38.16,61.84,17.62,0.0,6.51
010060000,105,83,22,0.0,4,79,35,44,44.3,55.7,20.95,0.0,5.06
010070000,1702,1461,241,0.0,105,1356,630,726,46.46,53.54,14.16,0.0,7.74
010080000,549,470,79,0.0,35,435,206,229,47.36,52.64,14.39,0.0,8.05
010090000,269,227,42,0.0,17,210,94,116,44.76,55.24,15.61,0.0,8.1
010100000,681,580,101,0.0,36,544,251,293,46.14,53.86,14.83,0.0,6.62
010110000,255,218,37,0.0,12,206,81,125,39.32,60.68,14.51,0.0,5.83
010120000,287,219,68,0.0,10,209,111,98,53.11,46.89,23.69,0.0,4.78
010130000,140,127,13,0.0,7,120,44,76,36.67,63.33,9.29,0.0,5.83
010140000,2163,1763,400,0.0,87,1676,818,858,48.81,51.19,18.49,0.0,5.19
010150000,388,337,51,0.0,13,324,132,192,40.74,59.26,13.14,0.0,4.01
010160000,309,236,73,0.0,16,220,81,139,36.82,63.18,23.62,0.0,7.27
010170000,296,254,42,0.0,18,236,128,108,54.24,45.76,14.19,0.0,7.63
010190000,37,35,2,0.0,3,32,20,12,62.5,37.5,5.41,0.0,9.38
010210000,896,815,81,0.0,43,772,227,545,29.4,70.6,9.04,0.0,5.57
010220000,813,667,146,0.0,43,624,297,327,47.6,52.4,17.96,0.0,6.89
010230000,48,45,3,0.0,0,45,17,28,37.78,62.22,6.25,0.0,0.0
010240000,2052,1767,285,0.0,131,1636,650,986,39.73,60.27,13.89,0.0,8.01
010250000,2117,1816,301,0.0,126,1690,751,939,44.44,55.56,14.22,0.0,7.46
010260000,562,471,91,0.0,27,444,187,257,42.12,57.88,16.19,0.0,6.08
010270000,1071,919,152,0.0,51,868,296,572,34.1,65.9,14.19,0.0,5.88
010280000,434,345,89,0.0,28,317,121,196,38.17,61.83,20.51,0.0,8.83
010290000,406,318,88,0.0,24,294,127,167,43.2,56.8,21.67,0.0,8.16
010300000,520,418,102,0.0,22,396,155,241,39.14,60.86,19.62,0.0,5.56
010310000,2080,1550,530,0.0,75,1475,652,823,44.2,55.8,25.48,0.0,5.08
010320000,2016,1661,355,0.0,107,1554,608,946,39.12,60.88,17.61,0.0,6.89
010330102,916,672,244,0.0,42,630,292,338,46.35,53.65,26.64,0.0,6.67
010330103,692,554,138,0.0,27,527,275,252,52.18,47.82,19.94,0.0,5.12
010330201,1111,863,248,0.0,45,818,466,352,56.97,43.03,22.32,0.0,5.5
010330202,2517,1991,526,0.0,117,1874,1149,725,61.31,38.69,20.9,0.0,6.24
010330301,811,616,195,0.0,47,569,324,245,56.94,43.06,24.04,0.0,8.26
010340101,847,727,120,0.0,42,685,299,386,43.65,56.35,14.17,0.0,6.13
010340102,2858,2367,491,0.0,161,2206,1067,1139,48.37,51.63,17.18,0.0,7.3
010340103,1773,1385,388,0.0,79,1306,703,603,53.83,46.17,21.88,0.0,6.05
010350000,268,215,53,0.0,24,191,82,109,42.93,57.07,19.78,0.0,12.57
010360000,414,356,58,0.0,17,339,158,181,46.61,53.39,14.01,0.0,5.01
010370000,215,187,28,0.0,13,174,61,113,35.06,64.94,13.02,0.0,7.47
010380000,557,491,66,0.0,29,462,193,269,41.77,58.23,11.85,0.0,6.28
010400000,314,268,46,0.0,20,248,101,147,40.73,59.27,14.65,0.0,8.06
010410000,576,478,98,0.0,56,422,230,192,54.5,45.5,17.01,0.0,13.27
010420000,193,176,17,0.0,14,162,68,94,41.98,58.02,8.81,0.0,8.64
010430000,3312,2755,557,0.0,136,2619,1025,1594,39.14,60.86,16.82,0.0,5.19
010440000,380,307,73,0.0,27,280,129,151,46.07,53.93,19.21,0.0,9.64
010450000,169,146,23,0.0,9,137,28,109,20.44,79.56,13.61,0.0,6.57
010460000,585,499,86,0.0,23,476,149,327,31.3,68.7,14.7,0.0,4.83
010470000,617,534,83,0.0,42,492,176,316,35.77,64.23,13.45,0.0,8.54
010490000,1947,1698,249,0.0,113,1585,659,926,41.58,58.42,12.79,0.0,7.13
010500000,216,173,43,0.0,9,164,63,101,38.41,61.59,19.91,0.0,5.49
010510000,98,76,22,0.0,3,73,42,31,57.53,42.47,22.45,0.0,4.11
010520000,251,218,33,0.0,7,211,71,140,33.65,66.35,13.15,0.0,3.32
010530101,1257,959,298,0.0,29,930,414,516,44.52,55.48,23.71,0.0,3.12
010530102,1257,959,298,0.0,29,930,414,516,44.52,55.48,23.71,0.0,3.12
010530103,1133,890,243,0.0,30,860,385,475,44.77,55.23,21.45,0.0,3.49
010530201,1315,1043,272,0.0,62,981,522,459,53.21,46.79,20.68,0.0,6.32
010530202,1018,768,250,0.0,37,731,441,290,60.33,39.67,24.56,0.0,5.06
010530203,1338,1066,272,0.0,63,1003,545,458,54.34,45.66,20.33,0.0,6.28
010530301,1444,1167,277,0.0,46,1121,532,589,47.46,52.54,19.18,0.0,4.1
010530302,2425,1887,538,0.0,88,1799,967,832,53.75,46.25,22.19,0.0,4.89
010530401,1359,1035,324,0.0,44,991,626,365,63.17,36.83,23.84,0.0,4.44
010530402,1471,1221,250,0.0,55,1166,591,575,50.69,49.31,17.0,0.0,4.72
010530501,2637,2054,583,0.0,97,1957,1046,911,53.45,46.55,22.11,0.0,4.96
010530502,1566,1246,320,0.0,58,1188,565,623,47.56,52.44,20.43,0.0,4.88
010530503,1571,1174,397,0.0,60,1114,661,453,59.34,40.66,25.27,0.0,5.39
010530601,1068,744,324,0.0,38,706,458,248,64.87,35.13,30.34,0.0,5.38
010530602,931,692,239,0.0,35,657,372,285,56.62,43.38,25.67,0.0,5.33
010530603,967,597,370,0.0,27,570,376,194,65.96,34.04,38.26,0.0,4.74
010530604,2173,1630,543,0.0,83,1547,933,614,60.31,39.69,24.99,0.0,5.37
010530701,4828,3593,1235,0.0,173,3420,1887,1533,55.18,44.82,25.58,0.0,5.06
010540000,853,752,101,0.0,43,709,289,420,40.76,59.24,11.84,0.0,6.06
010560000,296,262,34,0.0,21,241,84,157,34.85,65.15,11.49,0.0,8.71
010570000,345,290,55,0.0,21,269,120,149,44.61,55.39,15.94,0.0,7.81
010580000,403,348,55,0.0,29,319,121,198,37.93,62.07,13.65,0.0,9.09
010600000,420,371,49,0.0,22,349,122,227,34.96,65.04,11.67,0.0,6.3
010610000,812,707,105,0.0,41,666,308,358,46.25,53.75,12.93,0.0,6.16
010620000,549,486,63,0.0,30,456,162,294,35.53,64.47,11.48,0.0,6.58
010630000,368,318,50,0.0,21,297,106,191,35.69,64.31,13.59,0.0,7.07
010640000,627,519,108,0.0,49,470,257,213,54.68,45.32,17.22,0.0,10.43
010650000,1230,1096,134,0.0,55,1041,436,605,41.88,58.12,10.89,0.0,5.28
010660000,78,65,13,0.0,6,59,27,32,45.76,54.24,16.67,0.0,10.17
010670000,199,160,39,0.0,6,154,51,103,33.12,66.88,19.6,0.0,3.9
010680000,514,410,104,0.0,32,378,140,238,37.04,62.96,20.23,0.0,8.47
010690000,1054,887,167,0.0,75,812,380,432,46.8,53.2,15.84,0.0,9.24
010710000,2253,1877,376,0.0,104,1773,607,1166,34.24,65.76,16.69,0.0,5.87
010720000,2024,1719,305,0.0,99,1620,764,856,47.16,52.84,15.07,0.0,6.11
010730000,836,703,133,0.0,50,653,322,331,49.31,50.69,15.91,0.0,7.66
010740000,1472,1223,249,0.0,79,1144,411,733,35.93,64.07,16.92,0.0,6.91
010750000,830,706,124,0.0,43,663,206,457,31.07,68.93,14.94,0.0,6.49
010760000,118,93,25,0.0,8,85,44,41,51.76,48.24,21.19,0.0,9.41
010770000,142,126,16,0.0,3,123,39,84,31.71,68.29,11.27,0.0,2.44
010780000,725,595,130,0.0,36,559,205,354,36.67,63.33,17.93,0.0,6.44
010790000,536,441,95,0.0,39,402,171,231,42.54,57.46,17.72,0.0,9.7
010800000,343,282,61,0.0,30,252,140,112,55.56,44.44,17.78,0.0,11.9
010810000,506,427,79,0.0,34,393,166,227,42.24,57.76,15.61,0.0,8.65
010820000,399,314,85,0.0,18,296,159,137,53.72,46.28,21.3,0.0,6.08
010830000,627,542,85,0.0,28,514,144,370,28.02,71.98,13.56,0.0,5.45
010840000,488,424,64,0.0,28,396,150,246,37.88,62.12,13.11,0.0,7.07
010850000,273,237,36,0.0,14,223,71,152,31.84,68.16,13.19,0.0,6.28
010870000,215,180,35,0.0,13,167,60,107,35.93,64.07,16.28,0.0,7.78
010880000,681,591,90,0.0,39,552,200,352,36.23,63.77,13.22,0.0,7.07
010890000,1198,1038,160,0.0,61,977,399,578,40.84,59.16,13.36,0.0,6.24
010900000,266,250,16,0.0,16,234,83,151,35.47,64.53,6.02,0.0,6.84
010920000,1136,951,185,0.0,65,886,375,511,42.33,57.67,16.29,0.0,7.34
010930000,3342,2684,658,0.0,142,2542,916,1626,36.03,63.97,19.69,0.0,5.59
010940000,524,429,95,0.0,34,395,174,221,44.05,55.95,18.13,0.0,8.61
010950000,401,360,41,0.0,28,332,163,169,49.1,50.9,10.22,0.0,8.43
010960000,718,608,110,0.0,52,556,225,331,40.47,59.53,15.32,0.0,9.35
010980000,545,452,93,0.0,34,418,191,227,45.69,54.31,17.06,0.0,8.13
010990000,1118,930,188,0.0,74,856,342,514,39.95,60.05,16.82,0.0,8.64
011000000,124,104,20,0.0,9,95,54,41,56.84,43.16,16.13,0.0,9.47
011010000,140,114,26,0.0,6,108,42,66,38.89,61.11,18.57,0.0,5.56
011020000,633,515,118,0.0,53,462,185,277,40.04,59.96,18.64,0.0,11.47
011030000,691,601,90,0.0,27,574,183,391,31.88,68.12,13.02,0.0,4.7
011040000,313,259,54,0.0,18,241,103,138,42.74,57.26,17.25,0.0,7.47
011050000,967,860,107,0.0,34,826,273,553,33.05,66.95,11.07,0.0,4.12
011060000,136,110,26,0.0,6,104,46,58,44.23,55.77,19.12,0.0,5.77
011070000,121,99,22,0.0,6,93,46,47,49.46,50.54,18.18,0.0,6.45
011080000,896,726,170,0.0,58,668,305,363,45.66,54.34,18.97,0.0,8.68
011090000,1043,822,221,0.0,42,780,330,450,42.31,57.69,21.19,0.0,5.38
011100000,115,97,18,0.0,13,84,54,30,64.29,35.71,15.65,0.0,15.48
011110000,108,90,18,0.0,4,86,39,47,45.35,54.65,16.67,0.0,4.65
011120000,259,225,34,0.0,12,213,67,146,31.46,68.54,13.13,0.0,5.63
011130000,546,478,68,0.0,18,460,155,305,33.7,66.3,12.45,0.0,3.91
011140000,363,292,71,0.0,19,273,122,151,44.69,55.31,19.56,0.0,6.96
011150000,840,702,138,0.0,57,645,263,382,40.78,59.22,16.43,0.0,8.84
011160000,411,354,57,0.0,25,329,189,140,57.45,42.55,13.87,0.0,7.6
011170000,113,93,20,0.0,5,88,42,46,47.73,52.27,17.7,0.0,5.68
011180000,746,619,127,0.0,41,578,248,330,42.91,57.09,17.02,0.0,7.09
011210000,86,73,13,0.0,5,68,25,43,36.76,63.24,15.12,0.0,7.35
011230000,736,650,86,0.0,33,617,257,360,41.65,58.35,11.68,0.0,5.35
011240000,492,401,91,0.0,37,364,186,178,51.1,48.9,18.5,0.0,10.16
011250000,468,390,78,0.0,21,369,180,189,48.78,51.22,16.67,0.0,5.69
011270000,380,335,45,0.0,17,318,147,171,46.23,53.77,11.84,0.0,5.35
011280000,209,163,46,0.0,13,150,58,92,38.67,61.33,22.01,0.0,8.67
011290000,190,160,30,0.0,10,150,57,93,38.0,62.0,15.79,0.0,6.67
011300000,924,790,134,0.0,44,746,289,457,38.74,61.26,14.5,0.0,5.9
011330000,298,261,37,0.0,31,230,114,116,49.57,50.43,12.42,0.0,13.48
011340000,1205,1040,165,0.0,72,968,395,573,40.81,59.19,13.69,0.0,7.44
011350000,988,826,162,0.0,37,789,289,500,36.63,63.37,16.4,0.0,4.69
011360000,569,490,79,0.0,27,463,177,286,38.23,61.77,13.88,0.0,5.83
011380000,2178,1764,414,0.0,111,1653,927,726,56.08,43.92,19.01,0.0,6.72
011390000,341,279,62,0.0,14,265,100,165,37.74,62.26,18.18,0.0,5.28
011400000,515,456,59,0.0,35,421,157,264,37.29,62.71,11.46,0.0,8.31
011410000,346,292,54,0.0,20,272,131,141,48.16,51.84,15.61,0.0,7.35
011420000,2815,2380,435,0.0,132,2248,942,1306,41.9,58.1,15.45,0.0,5.87
011430101,1884,1497,387,0.0,62,1435,436,999,30.38,69.62,20.54,0.0,4.32
011430102,2296,1861,435,0.0,77,1784,589,1195,33.02,66.98,18.95,0.0,4.32
011430103,974,811,163,0.0,35,776,208,568,26.8,73.2,16.74,0.0,4.51
011450000,802,684,118,0.0,50,634,233,401,36.75,63.25,14.71,0.0,7.89
011460000,269,239,30,0.0,9,230,71,159,30.87,69.13,11.15,0.0,3.91
011470000,374,304,70,0.0,18,286,135,151,47.2,52.8,18.72,0.0,6.29
011480000,1350,1090,260,0.0,86,1004,372,632,37.05,62.95,19.26,0.0,8.57
011490000,754,662,92,0.0,44,618,287,331,46.44,53.56,12.2,0.0,7.12
011500000,155,142,13,0.0,7,135,58,77,42.96,57.04,8.39,0.0,5.19
011510000,859,756,103,0.0,37,719,285,434,39.64,60.36,11.99,0.0,5.15
011520000,616,518,98,0.0,42,476,198,278,41.6,58.4,15.91,0.0,8.82
011530000,889,716,173,0.0,38,678,226,452,33.33,66.67,19.46,0.0,5.6
011550000,126,107,19,0.0,6,101,27,74,26.73,73.27,15.08,0.0,5.94
011560000,574,489,85,0.0,26,463,147,316,31.75,68.25,14.81,0.0,5.62
011570000,1591,1323,268,0.0,65,1258,474,784,37.68,62.32,16.84,0.0,5.17
011580000,488,404,84,0.0,40,364,134,230,36.81,63.19,17.21,0.0,10.99
011590000,2411,2063,348,0.0,127,1936,681,1255,35.18,64.82,14.43,0.0,6.56
011600101,761,610,151,0.0,21,589,248,341,42.11,57.89,19.84,0.0,3.57
011600102,1116,957,159,0.0,50,907,465,442,51.27,48.73,14.25,0.0,5.51
011600103,1766,1441,325,0.0,62,1379,755,624,54.75,45.25,18.4,0.0,4.5
011620000,65,60,5,0.0,1,59,26,33,44.07,55.93,7.69,0.0,1.69
011630000,1447,1204,243,0.0,85,1119,356,763,31.81,68.19,16.79,0.0,7.6
011650000,936,815,121,0.0,38,777,264,513,33.98,66.02,12.93,0.0,4.89
011660000,1511,1329,182,0.0,51,1278,444,834,34.74,65.26,12.05,0.0,3.99
011670000,501,441,60,0.0,29,412,175,237,42.48,57.52,11.98,0.0,7.04
011690000,383,327,56,0.0,22,305,103,202,33.77,66.23,14.62,0.0,7.21
011700000,594,506,88,0.0,28,478,183,295,38.28,61.72,14.81,0.0,5.86
011710000,616,505,111,0.0,35,470,163,307,34.68,65.32,18.02,0.0,7.45
011730101,1157,902,255,0.0,39,863,353,510,40.9,59.1,22.04,0.0,4.52
011730102,3165,2548,617,0.0,124,2424,1003,1421,41.38,58.62,19.49,0.0,5.12
011730103,1090,838,252,0.0,44,794,340,454,42.82,57.18,23.12,0.0,5.54
011740000,123,94,29,0.0,5,89,39,50,43.82,56.18,23.58,0.0,5.62
011750000,582,479,103,0.0,47,432,181,251,41.9,58.1,17.7,0.0,10.88
011770000,138,124,14,0.0,5,119,61,58,51.26,48.74,10.14,0.0,4.2
011790000,1385,1192,193,0.0,85,1107,413,694,37.31,62.69,13.94,0.0,7.68
011800000,474,395,79,0.0,18,377,115,262,30.5,69.5,16.67,0.0,4.77
011810000,746,648,98,0.0,43,605,189,416,31.24,68.76,13.14,0.0,7.11
011830000,921,777,144,0.0,55,722,225,497,31.16,68.84,15.64,0.0,7.62
011840000,391,334,57,0.0,27,307,148,159,48.21,51.79,14.58,0.0,8.79
011850000,2278,1785,493,0.0,135,1650,755,895,45.76,54.24,21.64,0.0,8.18
011870000,432,348,84,0.0,22,326,169,157,51.84,48.16,19.44,0.0,6.75
011880000,463,397,66,0.0,22,375,78,297,20.8,79.2,14.25,0.0,5.87
011890000,712,584,128,0.0,31,553,311,242,56.24,43.76,17.98,0.0,5.61
