CODE_IRIS,inscrits,votants,abstentions,blancs,nuls,exprimes,RN,EXD,LR,DVD,DVC,MODEM,UDI,UG,PS,DVG,EELV,PCF,EXG,AUTRE,score_RN,score_EXD,score_LR,score_DVD,score_DVC,score_MODEM,score_UDI,score_UG,score_PS,score_DVG,score_EELV,score_PCF,score_EXG,score_AUTRE,pct_abstention,score_blanc,score_nul
010040101,2018,1121,897,0.0,55,1066,0,0,0,659,0,0,0,0,0,407,0,0,0,0,0.0,0.0,0.0,61.82,0.0,0.0,0.0,0.0,0.0,38.18,0.0,0.0,0.0,0.0,44.45,0.0,5.16
010040102,998,444,554,0.0,27,417,0,0,0,232,0,0,0,0,0,185,0,0,0,0,0.0,0.0,0.0,55.64,0.0,0.0,0.0,0.0,0.0,44.36,0.0,0.0,0.0,0.0,55.51,0.0,6.47
010040201,1062,580,482,0.0,23,557,0,0,0,318,0,0,0,0,0,239,0,0,0,0,0.0,0.0,0.0,57.09,0.0,0.0,0.0,0.0,0.0,42.91,0.0,0.0,0.0,0.0,45.39,0.0,4.13
010040202,4120,2434,1686,0.0,106,2328,0,0,0,1469,0,0,0,0,0,859,0,0,0,0,0.0,0.0,0.0,63.1,0.0,0.0,0.0,0.0,0.0,36.9,0.0,0.0,0.0,0.0,40.92,0.0,4.55
010070000,1770,1336,434,0.0,32,1304,0,0,0,694,0,0,0,0,0,610,0,0,0,0,0.0,0.0,0.0,53.22,0.0,0.0,0.0,0.0,0.0,46.78,0.0,0.0,0.0,0.0,24.52,0.0,2.45
010130000,141,93,48,0.0,8,85,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.76,34.04,0.0,9.41
010190000,35,34,1,0.0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.29,2.86,0.0,0.0
010300000,503,250,253,0.0,15,235,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.17,50.3,0.0,6.38
010340101,911,673,238,0.0,19,654,0,0,0,367,0,0,0,0,287,0,0,0,0,0,0.0,0.0,0.0,56.12,0.0,0.0,0.0,0.0,43.88,0.0,0.0,0.0,0.0,0.0,26.13,0.0,2.91
010340102,2881,2137,744,0.0,94,2043,0,0,0,1067,0,0,0,0,976,0,0,0,0,0,0.0,0.0,0.0,52.23,0.0,0.0,0.0,0.0,47.77,0.0,0.0,0.0,0.0,0.0,25.82,0.0,4.6
010340103,1888,1313,575,0.0,45,1268,0,0,0,595,0,0,0,0,673,0,0,0,0,0,0.0,0.0,0.0,46.92,0.0,0.0,0.0,0.0,53.08,0.0,0.0,0.0,0.0,0.0,30.46,0.0,3.55
010380000,558,397,161,0.0,8,389,0,0,0,0,0,0,0,0,0,0,0,0,0,775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.23,28.85,0.0,2.06
