CODE_IRIS,inscrits,votants,abstentions,blancs,nuls,exprimes,RN,EXD,DLF,LR,DVD,DVC,ENS,MODEM,UDI,UG,LFI,PS,DVG,EELV,PCF,EXG,REG,AUTRE,score_RN,score_EXD,score_DLF,score_LR,score_DVD,score_DVC,score_ENS,score_MODEM,score_UDI,score_UG,score_LFI,score_PS,score_DVG,score_EELV,score_PCF,score_EXG,score_REG,score_AUTRE,pct_abstention,score_blanc,score_nul
010120000,273,153,120,1.0,2,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,43.96,0.67,1.33
010340101,936,461,475,3.0,5,453,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,141,0.0,0.0,0.0,0.0,68.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.13,50.75,0.66,1.1
010340102,2885,1520,1365,31.0,35,1454,0,0,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,682,0.0,0.0,0.0,0.0,53.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.91,47.31,2.13,2.41
010340103,1936,899,1037,17.0,16,866,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0,0,425,0.0,0.0,0.0,0.0,50.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.08,53.56,1.96,1.85
010450000,199,81,118,1.0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.75,59.3,1.25,0.0
010580000,635,111,524,8.0,23,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,82.52,10.0,28.75
010600000,437,230,207,6.0,5,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,47.37,2.74,2.28
010770000,152,54,98,0.0,2,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.85,64.47,0.0,3.85
010850000,287,90,197,0.0,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.41,68.64,0.0,2.27
010870000,214,75,139,3.0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.78,64.95,4.17,0.0
010940000,549,64,485,5.0,16,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,88.34,11.63,37.21
011100000,119,45,74,0.0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,62.18,0.0,0.0
011110000,106,29,77,8.0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,72.64,50.0,31.25
011470000,373,176,197,6.0,5,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,52.82,3.64,3.03
011520000,608,181,427,7.0,3,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,70.23,4.09,1.75
011600101,764,352,412,6.0,3,343,0,0,0,0,208,51,0,0,0,0,0,0,0,0,0,0,0,84,0.0,0.0,0.0,0.0,60.64,14.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.49,53.93,1.75,0.87
011600102,1195,467,728,3.0,7,457,0,0,0,0,205,123,0,0,0,0,0,0,0,0,0,0,0,129,0.0,0.0,0.0,0.0,44.86,26.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.23,60.92,0.66,1.53
011600103,1839,699,1140,13.0,4,682,0,0,0,0,334,192,0,0,0,0,0,0,0,0,0,0,0,156,0.0,0.0,0.0,0.0,48.97,28.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.87,61.99,1.91,0.59
011840000,602,283,319,6.0,1,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.48,52.99,2.17,0.36
011940101,2167,852,1315,9.0,2,841,0,0,0,0,680,96,0,0,0,0,0,0,0,0,0,0,0,65,0.0,0.0,0.0,0.0,80.86,11.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.73,60.68,1.07,0.24
011940102,2190,816,1374,8.0,8,800,0,0,0,0,591,108,0,0,0,0,0,0,0,0,0,0,0,101,0.0,0.0,0.0,0.0,73.88,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.62,62.74,1.0,1.0
012100000,208,170,38,0.0,4,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.34,18.27,0.0,2.41
012470000,239,169,70,5.0,6,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,29.29,3.16,3.8
012490102,3922,1581,2341,13.0,12,1556,0,0,0,0,752,0,172,0,0,0,0,0,632,0,0,0,0,0,0.0,0.0,0.0,0.0,48.33,0.0,11.05,0.0,0.0,0.0,0.0,0.0,40.62,0.0,0.0,0.0,0.0,0.0,59.69,0.84,0.77
