CODE_IRIS,inscrits,votants,abstentions,blancs,nuls,exprimes,LE_PEN,MACRON,score_LE_PEN,score_MACRON,pct_abstention,score_blanc,score_nul
010010000,643,497,146,42.0,5,450,213,237,47.33,52.67,22.71,9.33,1.11
010020000,213,168,45,23.0,3,142,48,94,33.8,66.2,21.13,16.2,2.11
010040101,2062,1470,592,126.0,43,1301,628,673,48.27,51.73,28.71,9.68,3.31
010040102,1046,660,386,47.0,23,590,284,306,48.14,51.86,36.9,7.97,3.9
010040201,1150,832,318,46.0,35,751,327,424,43.54,56.46,27.65,6.13,4.66
010040202,4505,3353,1152,242.0,64,3047,1370,1677,44.96,55.04,25.57,7.94,2.1
010050000,1282,1016,266,47.0,15,954,503,451,52.73,47.27,20.75,4.93,1.57
010060000,103,84,19,12.0,0,72,27,45,37.5,62.5,18.45,16.67,0.0
010070000,2032,1615,417,98.0,30,1487,762,725,51.24,48.76,20.52,6.59,2.02
010080000,552,452,100,37.0,5,410,212,198,51.71,48.29,18.12,9.02,1.22
010090000,280,207,73,22.0,3,182,80,102,43.96,56.04,26.07,12.09,1.65
010100000,792,607,185,31.0,8,568,341,227,60.04,39.96,23.36,5.46,1.41
010110000,289,247,42,29.0,4,214,113,101,52.8,47.2,14.53,13.55,1.87
010120000,283,207,76,28.0,6,173,81,92,46.82,53.18,26.86,16.18,3.47
010130000,124,104,20,16.0,2,86,57,29,66.28,33.72,16.13,18.6,2.33
010140000,2259,1577,682,83.0,25,1469,578,891,39.35,60.65,30.19,5.65,1.7
010150000,562,443,119,28.0,16,399,164,235,41.1,58.9,21.17,7.02,4.01
010160000,326,267,59,12.0,5,250,138,112,55.2,44.8,18.1,4.8,2.0
010170000,308,233,75,18.0,4,211,139,72,65.88,34.12,24.35,8.53,1.9
010190000,40,35,5,3.0,0,32,16,16,50.0,50.0,12.5,9.38,0.0
010210000,1073,849,224,52.0,15,782,371,411,47.44,52.56,20.88,6.65,1.92
010220000,874,660,214,54.0,9,597,364,233,60.97,39.03,24.49,9.05,1.51
010230000,60,53,7,3.0,1,49,34,15,69.39,30.61,11.67,6.12,2.04
010240000,2454,1968,486,106.0,31,1831,843,988,46.04,53.96,19.8,5.79,1.69
010250000,3041,2372,669,138.0,44,2190,1074,1116,49.04,50.96,22.0,6.3,2.01
010260000,610,473,137,7.0,26,440,188,252,42.73,57.27,22.46,1.59,5.91
010270000,1275,1010,265,49.0,21,940,480,460,51.06,48.94,20.78,5.21,2.23
010280000,432,338,94,4.0,20,314,178,136,56.69,43.31,21.76,1.27,6.37
010290000,445,366,79,14.0,6,346,199,147,57.51,42.49,17.75,4.05,1.73
010300000,569,410,159,16.0,8,386,180,206,46.63,53.37,27.94,4.15,2.07
010310000,1857,1257,600,68.0,21,1168,526,642,45.03,54.97,32.31,5.82,1.8
010320000,2023,1514,509,93.0,20,1401,713,688,50.89,49.11,25.16,6.64,1.43
010330102,916,580,336,31.0,15,534,216,318,40.45,59.55,36.68,5.81,2.81
010330103,1429,990,439,74.0,17,899,409,490,45.49,54.51,30.72,8.23,1.89
010330201,1031,639,392,52.0,18,569,276,293,48.51,51.49,38.02,9.14,3.16
010330202,2697,1610,1087,98.0,25,1487,572,915,38.47,61.53,40.3,6.59,1.68
010330301,938,607,331,28.0,8,571,262,309,45.88,54.12,35.29,4.9,1.4
010330401,2500,1769,731,130.0,31,1608,815,793,50.68,49.32,29.24,8.08,1.93
010340101,950,730,220,51.0,9,670,300,370,44.78,55.22,23.16,7.61,1.34
010340102,3006,2162,844,172.0,63,1927,854,1073,44.32,55.68,28.08,8.93,3.27
010340103,1982,1305,677,62.0,18,1225,527,698,43.02,56.98,34.16,5.06,1.47
010350000,273,216,57,23.0,6,187,91,96,48.66,51.34,20.88,12.3,3.21
010360000,1103,855,248,69.0,26,760,327,433,43.03,56.97,22.48,9.08,3.42
