CODE_IRIS,inscrits,votants,abstentions,blancs,nuls,exprimes,RN,UXD,EXD,LR,DVD,DVC,HOR,UDI,UG,LFI,PS,DVG,EELV,PCF,EXG,REG,AUTRE,score_RN,score_UXD,score_EXD,score_LR,score_DVD,score_DVC,score_HOR,score_UDI,score_UG,score_LFI,score_PS,score_DVG,score_EELV,score_PCF,score_EXG,score_REG,score_AUTRE,pct_abstention,score_blanc,score_nul
011600101,1169,631,538,5.0,5,621,0,0,0,0,0,424,0,0,0,0,0,0,197,0,0,0,0,0.0,0.0,0.0,0.0,0.0,68.28,0.0,0.0,0.0,0.0,0.0,0.0,31.72,0.0,0.0,0.0,0.0,46.02,0.81,0.81
011600102,1184,442,742,17.0,4,421,0,0,0,0,0,252,0,0,0,0,0,0,169,0,0,0,0,0.0,0.0,0.0,0.0,0.0,59.86,0.0,0.0,0.0,0.0,0.0,0.0,40.14,0.0,0.0,0.0,0.0,62.67,4.04,0.95
011600103,2133,885,1248,12.0,18,855,0,0,0,0,0,568,0,0,0,0,0,0,287,0,0,0,0,0.0,0.0,0.0,0.0,0.0,66.43,0.0,0.0,0.0,0.0,0.0,0.0,33.57,0.0,0.0,0.0,0.0,58.51,1.4,2.11
011940101,2183,1244,939,25.0,3,1216,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,764,0.0,0.0,0.0,0.0,37.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.83,43.01,2.06,0.25
011940102,2204,1225,979,23.0,12,1190,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,817,0.0,0.0,0.0,0.0,31.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.66,44.42,1.93,1.01
012490101,1439,827,612,6.0,10,811,0,0,0,0,101,83,0,0,0,0,0,0,0,0,0,0,627,0.0,0.0,0.0,0.0,12.45,10.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.31,42.53,0.74,1.23
012490102,4160,2228,1932,20.0,21,2187,0,0,0,0,256,211,0,0,0,0,0,0,0,0,0,0,1720,0.0,0.0,0.0,0.0,11.71,9.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.65,46.44,0.91,0.96
012490103,3133,1692,1441,21.0,6,1665,0,0,0,0,216,168,0,0,0,0,0,0,0,0,0,0,1281,0.0,0.0,0.0,0.0,12.97,10.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.94,45.99,1.26,0.36
012830102,1234,569,665,7.0,5,557,0,0,0,0,508,0,0,0,0,0,0,49,0,0,0,0,0,0.0,0.0,0.0,0.0,91.2,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,53.89,1.26,0.9
012830103,1234,569,665,7.0,5,557,0,0,0,0,508,0,0,0,0,0,0,49,0,0,0,0,0,0.0,0.0,0.0,0.0,91.2,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,53.89,1.26,0.9
012830104,1279,540,739,1.0,3,536,0,0,0,0,518,0,0,0,0,0,0,18,0,0,0,0,0,0.0,0.0,0.0,0.0,96.64,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.0,0.0,0.0,0.0,0.0,57.78,0.19,0.56
012830201,1235,697,538,5.0,5,687,0,0,0,0,637,0,0,0,0,0,0,50,0,0,0,0,0,0.0,0.0,0.0,0.0,92.72,0.0,0.0,0.0,0.0,0.0,0.0,7.28,0.0,0.0,0.0,0.0,0.0,43.56,0.73,0.73
012830202,1084,633,451,6.0,9,618,0,0,0,0,559,0,0,0,0,0,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0,90.45,0.0,0.0,0.0,0.0,0.0,0.0,9.55,0.0,0.0,0.0,0.0,0.0,41.61,0.97,1.46
012830203,1227,695,532,3.0,5,687,0,0,0,0,622,0,0,0,0,0,0,65,0,0,0,0,0,0.0,0.0,0.0,0.0,90.54,0.0,0.0,0.0,0.0,0.0,0.0,9.46,0.0,0.0,0.0,0.0,0.0,43.36,0.44,0.73
012830301,2279,1186,1093,9.0,10,1167,0,0,0,0,1101,0,0,0,0,0,0,66,0,0,0,0,0,0.0,0.0,0.0,0.0,94.34,0.0,0.0,0.0,0.0,0.0,0.0,5.66,0.0,0.0,0.0,0.0,0.0,47.96,0.77,0.86
012830302,1168,652,516,3.0,7,642,0,0,0,0,596,0,0,0,0,0,0,46,0,0,0,0,0,0.0,0.0,0.0,0.0,92.83,0.0,0.0,0.0,0.0,0.0,0.0,7.17,0.0,0.0,0.0,0.0,0.0,44.18,0.47,1.09
012830303,1084,633,451,6.0,9,618,0,0,0,0,559,0,0,0,0,0,0,59,0,0,0,0,0,0.0,0.0,0.0,0.0,90.45,0.0,0.0,0.0,0.0,0.0,0.0,9.55,0.0,0.0,0.0,0.0,0.0,41.61,0.97,1.46
012830304,2598,1477,1121,14.0,12,1451,0,0,0,0,1298,0,0,0,0,0,0,153,0,0,0,0,0,0.0,0.0,0.0,0.0,89.46,0.0,0.0,0.0,0.0,0.0,0.0,10.54,0.0,0.0,0.0,0.0,0.0,43.15,0.96,0.83
012830305,1230,895,335,6.0,13,876,0,0,0,0,827,0,0,0,0,0,0,49,0,0,0,0,0,0.0,0.0,0.0,0.0,94.41,0.0,0.0,0.0,0.0,0.0,0.0,5.59,0.0,0.0,0.0,0.0,0.0,27.24,0.68,1.48
012830306,117,85,32,0.0,0,85,0,0,0,0,78,0,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,0.0,0.0,91.76,0.0,0.0,0.0,0.0,0.0,0.0,8.24,0.0,0.0,0.0,0.0,0.0,27.35,0.0,0.0
013220000,3021,1747,1274,17.0,8,1722,0,0,0,0,0,1117,0,0,0,0,0,0,0,0,0,0,605,0.0,0.0,0.0,0.0,0.0,64.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.13,42.17,0.99,0.46
013780000,2354,1513,841,15.0,6,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,35.73,1.01,0.4
014270101,1195,793,402,5.0,2,786,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,420,0.0,0.0,0.0,0.0,46.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.44,33.64,0.64,0.25
014270102,3141,2052,1089,24.0,18,2010,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,1072,0.0,0.0,0.0,0.0,46.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33,34.67,1.19,0.9
014500000,3112,1931,1181,24.0,11,1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,37.95,1.27,0.58
020110000,939,589,350,3.0,1,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,37.27,0.51,0.17
020630000,301,246,55,2.0,6,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,18.27,0.84,2.52
021350000,793,636,157,5.0,7,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.8,0.8,1.12
021390000,366,267,99,0.0,1,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,27.05,0.0,0.38
021600000,345,261,84,6.0,4,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,24.35,2.39,1.59
021730101,2696,1302,1394,11.0,17,1274,568,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,96,44.58,0.0,0.0,0.0,0.0,47.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.54,51.71,0.86,1.33
021730201,3544,1945,1599,19.0,23,1903,775,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,181,40.73,0.0,0.0,0.0,0.0,49.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.51,45.12,1.0,1.21
021730301,1765,1052,713,7.0,11,1034,408,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,73,39.46,0.0,0.0,0.0,0.0,53.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06,40.4,0.68,1.06
022430000,2152,1121,1031,13.0,6,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,47.91,1.18,0.54
023070000,1526,879,647,11.0,4,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,42.4,1.27,0.46
023360000,796,574,222,0.0,2,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,27.89,0.0,0.35
023600000,1993,1267,726,11.0,5,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,36.43,0.88,0.4
024080101,613,273,340,2.0,5,266,82,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,30.83,0.0,0.0,0.0,0.0,69.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.46,0.75,1.88
024080102,857,191,666,0.0,2,189,63,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,33.33,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.71,0.0,1.06
024080103,873,332,541,4.0,9,319,92,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,28.84,0.0,0.0,0.0,0.0,71.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.97,1.25,2.82
024080201,2408,1120,1288,16.0,22,1082,344,0,0,0,0,738,0,0,0,0,0,0,0,0,0,0,0,31.79,0.0,0.0,0.0,0.0,68.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.49,1.48,2.03
024080301,1280,631,649,19.0,12,600,135,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,22.5,0.0,0.0,0.0,0.0,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7,3.17,2.0
024080401,830,426,404,5.0,9,412,111,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,26.94,0.0,0.0,0.0,0.0,73.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.67,1.21,2.18
024080402,919,414,505,3.0,7,404,150,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,37.13,0.0,0.0,0.0,0.0,62.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.95,0.74,1.73
024080501,2320,1008,1312,24.0,19,965,210,0,0,0,0,755,0,0,0,0,0,0,0,0,0,0,0,21.76,0.0,0.0,0.0,0.0,78.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.55,2.49,1.97
024080601,1847,857,990,18.0,8,831,169,0,0,0,0,662,0,0,0,0,0,0,0,0,0,0,0,20.34,0.0,0.0,0.0,0.0,79.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.6,2.17,0.96
024080701,841,320,521,7.0,10,303,102,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,33.66,0.0,0.0,0.0,0.0,66.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.95,2.31,3.3
