pa_id,nom,groupe,anciennete_ans,derniere_date
PA1008,Alain David,NI,0.0,Inconnue
PA1567,Jérôme Guedj,NI,0.0,Inconnue
PA1592,David Habib,NI,0.0,Inconnue
PA1630,Michel Herbillon,NI,0.0,Inconnue
PA1654,François Hollande,NI,0.0,Inconnue
PA227089,Valérie Létard,NI,0.0,Inconnue
PA266793,Jean-Yves Bony,NI,0.0,Inconnue
PA266797,Philippe Gosselin,NI,0.0,Inconnue
PA266808,Vincent Rolland,NI,0.0,Inconnue
PA267042,Yannick Favennec-Bécot,NI,0.0,Inconnue
PA267200,Sébastien Huyghe,NI,0.0,Inconnue
PA267285,Laurent Wauquiez,NI,0.0,Inconnue
PA267318,Jean-Carles Grelier,NI,0.0,Inconnue
PA267763,Jean-Pierre Bataille,NI,0.0,Inconnue
PA267780,Agnès Firmin Le Bodo,NI,0.0,Inconnue
PA267794,Michèle Tabarot,NI,0.0,Inconnue
PA2940,Dominique Voynet,NI,0.0,Inconnue
PA2952,Jean-Luc Warsmann,NI,0.0,Inconnue
PA309643,Véronique Besse,NI,0.0,Inconnue
PA330008,Xavier Breton,NI,0.0,Inconnue
PA330240,Éric Ciotti,NI,0.0,Inconnue
PA330909,Vincent Descoeur,NI,0.0,Inconnue
PA331582,Philippe Vigier,NI,0.0,Inconnue
PA331973,Pascale Got,NI,0.0,Inconnue
PA332228,Thierry Benoit,NI,0.0,Inconnue
PA332523,Marie-Christine Dalloz,NI,0.0,Inconnue
PA333285,Guillaume Garot,NI,0.0,Inconnue
PA335054,Marietta Karamanli,NI,0.0,Inconnue
PA335612,Jean-Paul Lecoq,NI,0.0,Inconnue
PA335758,Franck Riester,NI,0.0,Inconnue
PA335999,Delphine Batho,NI,0.0,Inconnue
PA340343,Hervé Saulignac,NI,0.0,Inconnue
PA341981,Marie Récalde,NI,0.0,Inconnue
PA342196,Claudia Rouaux,NI,0.0,Inconnue
PA342240,Jean-Luc Bourgeaux,NI,0.0,Inconnue
PA342384,Élisa Martin,NI,0.0,Inconnue
PA342415,Marie-Noëlle Battistel,NI,0.0,Inconnue
PA345722,Constance Le Grip,NI,0.0,Inconnue
PA346782,Philippe Juvin,NI,0.0,Inconnue
PA408578,Jean-Didier Berger,NI,0.0,Inconnue
PA569,Philippe Bonnecarrère,NI,0.0,Inconnue
PA588884,Clémentine Autain,NI,0.0,Inconnue
PA605694,Olivier Falorni,NI,0.0,Inconnue
PA605745,Nicolas Sansu,NI,0.0,Inconnue
PA605782,Laurent Marcangeli,NI,0.0,Inconnue
PA606507,Florent Boudié,NI,0.0,Inconnue
PA606545,Jean-Louis Roumégas,NI,0.0,Inconnue
PA606573,Fanny Dombre Coste,NI,0.0,Inconnue
PA606793,Laurent Baumel,NI,0.0,Inconnue
