ID_BUREAU_VOTE,CODE_IRIS
31384_0001,313840000
31402_0001,314020000
53042_0001,530420000
80371_0001,803710000
80755_0001,807550000
80046_0001,800460000
45316_0001,453160000
80041_0001,800410000
81095_0001,810950000
19201_0001,192010000
23081_0001,230810000
35261_0001,352610000
22352_0001,223520000
35205_0001,352050000
35357_0001,353570000
60301_0001,603010000
60510_0001,605100000
62455_0001,624550000
35110_0001,351100000
35138_0001,351380000
53160_0001,531600000
53051_0001,530510000
53237_0001,532370000
60359_0001,603590000
45183_0001,451830000
46056_0001,460560000
45049_0001,450490000
35318_0001,353180000
35355_0001,353550000
53154_0001,531540000
53111_0001,531110000
62716_0001,627160000
62789_0001,627890000
35309_0001,353090000
35112_0001,351120000
53216_0001,532160000
53174_0001,531740000
53211_0001,532110000
53071_0001,530710000
53126_0001,531260000
53064_0001,530640000
53170_0001,531700000
81045_0001,810450000
35062_0001,350620000
35280_0001,352800000
35310_0001,353100000
35021_0001,350210000
35336_0001,353360000
35180_0001,351800000
35307_0001,353070000
35304_0001,353040000
35164_0001,351640000
35242_0001,352420000
22056_0001,220560000
22306_0001,223060000
22274_0001,222740000
35244_0001,352440000
35345_0001,353450000
35075_0001,350750000
45063_0001,450630000
18149_0001,181490000
35058_0001,350580000
35234_0001,352340000
35143_0001,351430000
35276_0001,352760000
45014_0001,450140000
18185_0001,181850000
35171_0001,351710000
35146_0001,351460000
35128_0001,351280000
22305_0001,223050000
22036_0001,220360000
35144_0001,351440000
22263_0001,222630000
18227_0001,182270000
22062_0001,220620000
35346_0001,353460000
22371_0001,223710000
22255_0001,222550000
22333_0001,223330000
22148_0001,221480000
22114_0001,221140000
22053_0001,220530000
22133_0001,221330000
22309_0001,223090000
35216_0001,352160000
22240_0001,222400000
35081_0001,350810000
35027_0001,350270000
22122_0001,221220000
35203_0001,352030000
35320_0001,353200000
35187_0001,351870000
35295_0001,352950000
22039_0001,220390000
35305_0001,353050000
56025_0001,560250000
22083_0001,220830000
22043_0001,220430000
35290_0001,352900000
56056_0001,560560000
56208_0001,562080000
56225_0001,562250000
35026_0001,350260000
35277_0001,352770000
35201_0001,352010000
56080_0001,560800000
56134_0001,561340000
56043_0001,560430000
22241_0001,222410000
19064_0001,190640000
18083_0001,180830000
23174_0001,231740000
23224_0001,232240000
23178_0001,231780000
23114_0001,231140000
23113_0001,231130000
60015_0001,600150000
62205_0001,622050000
59111_0001,591110000
62681_0001,626810000
59182_0001,591820000
60252_0001,602520000
80661_0001,806610000
80020_0001,800200000
60468_0001,604680000
60400_0001,604000000
80213_0001,802130000
80193_0001,801930000
19080_0001,190800000
80321_0001,803210000
45277_0001,452770000
80299_0001,802990000
22027_0001,220270000
22288_0001,222880000
03288_0001,032880000
03259_0001,032590000
62344_0001,623440000
62509_0001,625090000
62163_0001,621630000
60497_0001,604970000
80403_0001,804030000
80291_0001,802910000
60555_0001,605550000
60627_0001,606270000
60085_0001,600850000
62607_0001,626070000
60039_0001,600390000
60016_0001,600160000
60701_0001,607010000
18278_0001,182780000
45042_0001,450420000
60638_0001,606380000
60225_0001,602250000
62576_0001,625760000
03246_0001,032460000
23221_0001,232210000
18088_0001,180880000
80746_0001,807460000
62814_0001,628140000
80452_0001,804520000
80188_0001,801880000
95316_0001,953160000
62450_0001,624500000
62141_0001,621410000
19252_0001,192520000
62225_0001,622250000
60115_0001,601150000
59089_0001,590890000
62732_0001,627320000
62676_0001,626760000
62517_0001,625170000
62805_0001,628050000
62049_0001,620490000
59579_0001,595790000
62539_0001,625390000
62459_0001,624590000
80756_0001,807560000
62695_0001,626950000
62475_0001,624750000
59516_0001,595160000
62900_0001,629000000
62763_0001,627630000
59577_0001,595770000
62070_0001,620700000
80514_0001,805140000
59568_0001,595680000
62266_0001,622660000
62542_0001,625420000
62701_0001,627010000
62802_0001,628020000
62462_0001,624620000
59338_0001,593380000
59667_0001,596670000
59655_0001,596550000
59087_0001,590870000
60496_0001,604960000
60215_0001,602150000
62600_0001,626000000
62779_0001,627790000
62778_0001,627780000
62663_0001,626630000
62286_0001,622860000
80752_0001,807520000
62162_0001,621620000
60635_0001,606350000
62875_0001,628750000
60615_0001,606150000
59119_0001,591190000
95088_0001,950880000
95331_0001,953310000
62601_0001,626010000
62512_0001,625120000
62885_0001,628850000
62795_0001,627950000
60486_0001,604860000
60123_0001,601230000
60454_0001,604540000
95493_0001,954930000
59463_0001,594630000
59200_0001,592000000
62694_0001,626940000
62831_0001,628310000
22348_0001,223480000
22346_0001,223460000
22312_0001,223120000
22308_0001,223080000
22391_0001,223910000
22369_0001,223690000
22239_0001,222390000
22337_0001,223370000
22165_0001,221650000
22296_0001,222960000
66209_0001,662090000
35322_0001,353220000
35212_0001,352120000
22345_0001,223450000
56220_0001,562200000
56021_0001,560210000
50234_0001,502340000
76227_0001,762270000
50072_0001,500720000
50496_0001,504960000
50447_0001,504470000
50483_0001,504830000
62208_0001,622080000
50302_0001,503020000
50093_0001,500930000
50092_0001,500920000
50279_0001,502790000
76694_0001,766940000
50094_0001,500940000
50345_0001,503450000
50624_0001,506240000
29075_0013,290750101
29097_0001,290970000
29042_0007,290420103
29037_0001,290370000
29075_0015,290750103
29076_0004,290760000
29043_0001,290430000
29080_0001,290800000
29091_0001,290910000
29039_0008,290390107
29279_0002,292790000
29042_0002,290420102
29124_0001,291240102
29097_0002,290970000
29151_0011,291510107
29140_0002,291400000
29046_0002,290460102
29048_0002,290480000
29151_0010,291510107
29160_0001,291600103
29278_0002,292780000
2A004_0034,2A0040801
29045_0002,290450000
29053_0001,290530000
29293_0002,292930102
2A004_0035,2A0040803
2A004_0038,2A0040903
2A004_0039,2A0040903
29161_0002,291610000
29162_0002,291620000
29055_0001,290550000
29196_0001,291960000
29162_0003,291620000
2A004_0040,2A0040903
2A032_0001,2A0320000
2A041_0002,2A0410000
29055_0002,290550000
2A271_0002,2A2710000
2A362_0001,2A3620000
2B033_0010,2B0330701
2B033_0016,2B0330201
29169_0002,291690000
29198_0001,291980000
2B033_0019,2B0330501
2B033_0026,2B0330402
2B042_0005,2B0420101
2B033_0007,2B0330701
2A103_0001,2A1030000
2A228_0002,2A2280000
2B037_0004,2B0370101
2B050_0001,2B0500102
2B120_0001,2B1200000
2B120_0003,2B1200000
29199_0004,291990000
29206_0002,292060000
2B087_0002,2B0870000
2B096_0005,2B0960102
2B123_0001,2B1230000
2B134_0001,2B1340000
2B134_0003,2B1340000
2B148_0001,2B1480000
2B313_0002,2B3130000
2B148_0004,2B1480000
2B169_0002,2B1690000
2B342_0001,2B3420000
2B343_0001,2B3430000
29207_0002,292070000
29209_0003,292090000
2A247_0010,2A2470202
29302_0003,293020000
30004_0001,300040000
30003_0006,300030102
2A247_0012,2A2470102
2A247_0009,2A2470201
29212_0010,292120105
29216_0002,292160000
30006_0004,300060000
30007_0325,300070106
30011_0003,300110105
30006_0002,300060000
30007_0322,300070106
30034_0003,300340102
2A249_0003,2A2490000
2A348_0001,2A3480000
2A362_0003,2A3620000
2A271_0001,2A2710000
30034_0004,300340102
30012_0002,300120000
30032_0010,300320102
30059_0002,300590000
30061_0001,300610000
30123_0001,301230000
30077_0002,300770000
30032_0011,300320101
30082_0003,300820000
29175_0002,291750000
30033_0002,300330000
30075_0002,300750000
30344_0002,303440000
29179_0001,291790000
29181_0001,291810000
29186_0001,291860000
30348_0001,303480000
30083_0002,300830000
30132_0006,301320103
30138_0001,301380000
30128_0001,301280000
30350_0001,303500101
31022_0004,310220102
30334_0002,303340103
30141_0003,301410101
30141_0004,301410102
30155_0004,301550101
29189_0002,291890103
29191_0002,291910000
29220_0004,292200102
29232_0037,292320107
31036_0001,310360000
31044_0015,310440108
31069_0013,310690110
29232_0049,292320135
29220_0007,292200101
29230_0001,292300000
30209_0002,302090000
30210_0001,302100000
30351_0005,303510104
29232_0030,292320129
30352_0001,303520000
29235_0010,292350101
29236_0002,292360000
30189_0036,301891703
30189_0052,301890203
30189_0076,301890708
30217_0002,302170102
30221_0003,302210102
31069_0019,310690104
29233_0009,292330102
29247_0004,292470000
30189_0084,301890708
30223_0002,302230000
31069_0021,310690111
31069_0009,310690109
31069_0007,310690108
31069_0008,310690109
31100_0001,311000000
31091_0001,310910000
31160_0001,311600000
31182_0001,311820000
31187_0012,311870104
30239_0002,302390000
30284_0002,302840101
30311_0001,303110000
30227_0002,302270000
31118_0003,311180000
31248_0004,312480000
31252_0002,312520000
31232_0005,312320102
31149_0013,311490802
31253_0001,312530000
31254_0003,312540000
31293_0001,312930000
30325_0002,303250000
30326_0001,303260000
31149_0015,311490701
31228_0001,312280000
31228_0002,312280000
31356_0001,313560000
31358_0001,313580000
31263_0001,312630000
31149_0007,311490601
31395_0004,313950107
31303_0001,313030000
31375_0001,313750000
31375_0003,313750000
31417_0006,314170103
31395_0009,313950110
31324_0001,313240000
31364_0002,313640000
30229_0002,302290000
30341_0006,303410102
30331_0001,303310000
31555_0176,315556002
31417_0005,314170103
31395_0011,313950109
31395_0010,313950108
31395_0012,313950102
31433_0008,314330104
31445_0004,314450000
31555_0187,315553601
31555_0193,315554003
31555_0202,315552003
31555_0209,315554101
31446_0005,314460103
31420_0001,314200000
31433_0005,314330102
31555_0137,315553402
31555_0146,315555901
31555_0038,315552101
31555_0040,315551101
31555_0049,315551203
31555_0220,315554303
31555_0023,315551807
31555_0239,315554702
31451_0007,314510103
31555_0093,315555001
31555_0240,315554701
31555_0051,315551201
31555_0054,315551401
31555_0070,315551401
31555_0074,315552702
31555_0075,315554805
31458_0003,314580000
31480_0001,314800000
31523_0002,315230000
31555_0086,315552902
31555_0089,315552903
01004_0004,010040101
01004_0005,010040102
31573_0003,315730000
31574_0001,315740000
31574_0002,315740000
31483_0008,314830105
31506_0003,315060101
31555_0108,315555503
31584_0005,315840000
31561_0006,315610107
31584_0007,315840000
01004_0006,010040201
01004_0007,010040202
01004_0008,010040202
01014_0001,010140000
31547_0005,315470103
31555_0100,315555301
31555_0107,315555601
01014_0002,010140000
01015_0001,010150000
01015_0002,010150000
01024_0001,010240000
31587_0001,315870000
32132_0005,321320103
01024_0002,010240000
31555_0166,315551801
31555_0167,315550801
31555_0173,315551702
32147_0003,321470000
32160_0008,321600101
01033_0002,010330201
01033_0003,010330202
01025_0001,010250000
01025_0002,010250000
01033_0004,010330103
01033_0005,010330103
01033_0006,010330301
01025_0003,010250000
01027_0001,010270000
01027_0002,010270000
33009_0010,330090101
32256_0002,322560000
33001_0002,330010000
01033_0008,010330401
01034_0001,010340102
33012_0003,330120000
33009_0009,330090105
33013_0004,330130101
01031_0001,010310000
01031_0002,010310000
01032_0002,010320000
01033_0001,010330102
01033_0010,010330401
01034_0002,010340102
01034_0003,010340103
01034_0004,010340103
01053_0013,010530501
01053_0015,010530203
01053_0016,010530202
01053_0018,010530302
01053_0019,010530701
33013_0005,330130104
33036_0003,330360000
01034_0005,010340101
01034_0006,010340102
01053_0002,010530101
01053_0003,010530701
01053_0004,010530604
01053_0005,010530602
01053_0006,010530604
01036_0001,010360000
01004_0002,010040202
01004_0003,010040202
01072_0001,010720000
01072_0002,010720000
01053_0007,010530302
01053_0008,010530301
01053_0009,010530701
01065_0001,010650000
01036_0002,010360000
01036_0003,010360000
01080_0001,010800000
01080_0002,010800000
01089_0001,010890000
01093_0001,010930000
01065_0002,010650000
01071_0001,010710000
01036_0004,010360000
01071_0002,010710000
01142_0001,011420000
01142_0002,011420000
01043_0002,010430000
01093_0002,010930000
01093_0003,010930000
01095_0001,010950000
01142_0003,011420000
01143_0001,011430102
01143_0002,011430102
01043_0003,010430000
01143_0003,011430103
01143_0004,011430101
01143_0005,011430101
01095_0002,010950000
01098_0001,010980000
01098_0002,010980000
01099_0001,010990000
01099_0002,010990000
01105_0001,011050000
01105_0002,011050000
01049_0002,010490000
01053_0001,010530103
01157_0001,011570000
01157_0002,011570000
01159_0001,011590000
01053_0011,010530401
01130_0001,011300000
01130_0002,011300000
